Questionnaire Name	Account Number	Account Name	Country	CDP Region	Parent Section	Section	Row Number	Row Name	Climate Hazards	Did this hazard significantly impact your city before 2020?	Current probability of hazard	Current magnitude of hazard	Social impact of hazard overall	Most relevant assets / services affected overall	Please identify which vulnerable populations are affected	Future change in frequency	Future change in intensity	Future expected magnitude of hazard	When do you first expect to experience those changes in frequency and intensity?	Please describe the impacts experienced so far, and how you expect the hazard to impact in the future
Cities 2020	54529	City of Leicester	United Kingdom of Great Britain and Northern Ireland	Europe	Climate Hazards and Vulnerability	Climate Hazards	5		Mass movement > Subsidence	No	Do not know	Low	Population displacement	Commercial; Industrial; Land use planning; Residential; Transport	Persons living in sub-standard housing	Increasing	Increasing	Low	Long-term (after 2050)	Climate-related subsidence is known to be a risk in built up areas, especailly where trees are present. Whilst impacts of subsidence have been limited in the city so far, the desnity of the area and presence of a good level of tree cover makes this a potentially significant hazard in the future.
Cities 2020	54538	Bath and North East Somerset	United Kingdom of Great Britain and Northern Ireland	Europe	Climate Hazards and Vulnerability	Climate Hazards	1		Mass movement > Landslide	Yes	Medium	Medium Low	Other, please specify: Disruption to transport, Potential loss of life, Damage to residential property	Emergency services; Land use planning; Public health; Residential; Transport		Increasing	Increasing	Medium High	Medium-term (2026-2050)	We have had landslips causing significant roads to be closed for periods of time from weeks to months. Costing the Council millions of pounds to repair these roads.
Cities 2020	54538	Bath and North East Somerset	United Kingdom of Great Britain and Northern Ireland	Europe	Climate Hazards and Vulnerability	Climate Hazards	2		Extreme Precipitation > Rain storm	Yes	Medium High	Medium High	Increased risk to already vulnerable populations; Other, please specify: Disruption to residents, business and tourism; Population displacement	Commercial; Industrial; Land use planning; Residential; Society / community & culture; Tourism; Transport; Water supply & sanitation	Elderly; Persons living in sub-standard housing	Increasing	Increasing	High	Short-term (by 2025)	Flooding incidents in the city of Bath and in the Chew Valley. During Winter 2019 the River Avon burst its banks in various places after heavy rain and subsequent flooding, causing disruption to transport, homes and businesses.
Cities 2020	54538	Bath and North East Somerset	United Kingdom of Great Britain and Northern Ireland	Europe	Climate Hazards and Vulnerability	Climate Hazards	3		Extreme Precipitation > Heavy snow	Yes	Medium	Medium Low	Increased resource demand	Commercial; Emergency services; Industrial; Residential; Transport	Low-income households; Persons with disabilities	Do not know	Do not know	Do not know		Snow and the hills in the area have prevented staff getting to work in the emergency services and prevented essential services being delivered to residents. Schools have been closed and unseasonably late winter weather has had an adverse impact on the farming community. These events have also delayed planned work on highways due to the need to clear snow from the roads.
Cities 2020	54538	Bath and North East Somerset	United Kingdom of Great Britain and Northern Ireland	Europe	Climate Hazards and Vulnerability	Climate Hazards	4		Storm and wind > Severe wind	Yes	Medium	Medium	Increased risk to already vulnerable populations	Emergency services; Energy; Transport	Elderly; Low-income households; Persons living in sub-standard housing	Increasing	Increasing	Medium	Medium-term (2026-2050)	Storms have affected transport and electricity infrastructure in the District, as well as bringing down trees onto highways. Increases in the intensity of winter storms in the future could exacerbate these impacts.
Cities 2020	54538	Bath and North East Somerset	United Kingdom of Great Britain and Northern Ireland	Europe	Climate Hazards and Vulnerability	Climate Hazards	5		Extreme hot temperature > Heat wave	Yes	Medium High	Medium High	Increased demand for healthcare services; Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations	Commercial; Environment, biodiversity, forestry; Food & agriculture; Industrial; Public health; Residential; Tourism; Water supply & sanitation	Elderly; Persons with chronic diseases; Persons with disabilities	Increasing	Increasing	High	Medium-term (2026-2050)	Road surfaces melted preventing traffic using certain routes in the district. Statistics showed an increase in health impact in elderly, vulnerable people.  Trains have been affected affecting travel in and out of the district. With rising temperatures, the impact of heat waves on the District during summer months is likely to increase.
Cities 2020	54538	Bath and North East Somerset	United Kingdom of Great Britain and Northern Ireland	Europe	Climate Hazards and Vulnerability	Climate Hazards	6		Flood and sea level rise > River flood	Yes	Medium	Medium High	Increased demand for public services	Emergency services; Food & agriculture; Land use planning; Public health; Residential; Transport	Elderly; Persons living in sub-standard housing	Increasing	Increasing	Medium High	Medium-term (2026-2050)	River flooding has affected the rail network into and out of the District  and has also flooded homes and businesses. With heavier rainfall in the future it is likely that river flooding will increase.
Cities 2020	54579	Sekhukhune District Municipality	South Africa	Africa	Climate Hazards and Vulnerability	Climate Hazards	1		Water Scarcity > Drought		High	Medium		Energy; Food & agriculture; Water supply & sanitation		Increasing	Increasing			Loss in income and livlihood
Cities 2020	54603	Alcaldia de Pasto	Colombia	Latin America	Climate Hazards and Vulnerability	Climate Hazards	1		Extreme Precipitation > Rain storm	Do not know	Medium Low	Medium Low	Increased demand for healthcare services; Increased risk to already vulnerable populations	Environment, biodiversity, forestry; Food & agriculture; Information & communications technology; Water supply & sanitation		Increasing	Increasing	Medium High	Short-term (by 2025)	Debido al cambio de los ciclos biogeoquímicos, se han aumentado las lluvias ácidas, lo que perjudica al sector agropecuario. Los ciclos climáticos han sido adversos pasando de lluvias intensas a calores variados, y así sucesivamente
Cities 2020	54603	Alcaldia de Pasto	Colombia	Latin America	Climate Hazards and Vulnerability	Climate Hazards	2		Extreme Precipitation > Hail	No	Medium Low	Medium Low	Increased demand for public services; Increased resource demand; Increased risk to already vulnerable populations; Loss of traditional jobs; Population displacement	Environment, biodiversity, forestry; Food & agriculture; Information & communications technology; Water supply & sanitation	Elderly; Low-income households; Persons living in sub-standard housing	Decreasing	Increasing	Medium High	Medium-term (2026-2050)	En los últimos años han ocurrido ese tipo de eventos en la ciudad, y dadas las condiciones del territorio es probable que vuelvan a ocurrir y su impacto sea  negativo .
Cities 2020	54611	Alcaldia de Manizales	Colombia	Latin America	Climate Hazards and Vulnerability	Climate Hazards	1		Extreme Precipitation > Hail	No	Low	Medium	Increased risk to already vulnerable populations	Environment, biodiversity, forestry; Food & agriculture; Residential	Low-income households	Increasing	Increasing	Medium	Medium-term (2026-2050)	To date there have been no emergencies caused by hail phenomena, but this event has been occurring more frequently in the sector, causing damage to housing infrastructure and commercial and educational establishments, in addition to crop damage. that are in the area
Cities 2020	54611	Alcaldia de Manizales	Colombia	Latin America	Climate Hazards and Vulnerability	Climate Hazards	2		Storm and wind > Severe wind	No	Low	Medium Low	Increased risk to already vulnerable populations; Migration from rural areas to cities	Environment, biodiversity, forestry; Food & agriculture; Information & communications technology; Residential	Low-income households	Increasing	Increasing	Medium	Medium-term (2026-2050)	To date strong winds have occurred, causing damage to the infrastructure (roofs) of some homes, increasing the population that does not have decent housing, in addition to increasing public expenses in emergency care.The impact in the future increases, since there are populations that settle in areas with vulnerability, the resources assigned to emergency attention would increase, which means that the resources invested in other activities are diminished.Food is scarce and their costs increase both to produce them and to acquire them, which increases the cost of the family basket in the municipality.
Cities 2020	54611	Alcaldia de Manizales	Colombia	Latin America	Climate Hazards and Vulnerability	Climate Hazards	3		Storm and wind > Lightning / thunderstorm	No	Medium	Medium	Increased risk to already vulnerable populations	Energy; Environment, biodiversity, forestry; Food & agriculture; Information & communications technology; Residential; Transport	Other, please specify: Toda la poblacion	Increasing	Increasing	Medium	Medium-term (2026-2050)	There have been damages in electrical networks and losses in information technologies; the risk that floods may be expected to affect housing and public service networks; in addition to anomalies in the provision of air cable transport service and loss of biodiversity
Cities 2020	54611	Alcaldia de Manizales	Colombia	Latin America	Climate Hazards and Vulnerability	Climate Hazards	4		Extreme Precipitation > Fog	No	Medium	Medium	Increased demand for public services; Other, please specify: Accidentes de transito	Energy; Tourism; Transport	Other, please specify: Toda la comunidad	Increasing	Increasing	Medium	Medium-term (2026-2050)	There have been traffic accidents, in addition to crop losses due to low temperatures. The expected impact is an increase in mortality caused by traffic accidents, an increase in demand for public services such as electricity generated by water.
Cities 2020	54611	Alcaldia de Manizales	Colombia	Latin America	Climate Hazards and Vulnerability	Climate Hazards	5		Wild fire > Forest fire	Yes	Medium High	Medium High	Increased demand for healthcare services; Increased demand for public services; Loss of traditional jobs; Other, please specify: Perdida de biodiversidad	Emergency services; Environment, biodiversity, forestry; Food & agriculture; Land use planning; Tourism	Other, please specify: Toda la comunidad	Increasing	Increasing	High	Short-term (by 2025)	The forest fires have ended with areas of environmental interest that provide important ecosystem services for the region, such as water regulation, CO2 capture, provision of food, reduction of biological corridors and loss of biodiversity. The impacts are the same only with greater frequency and magnitude
Cities 2020	54611	Alcaldia de Manizales	Colombia	Latin America	Climate Hazards and Vulnerability	Climate Hazards	6		Flood and sea level rise > Flash / surface flood	Yes	Medium High	Medium High	Increased demand for healthcare services; Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations; Loss of traditional jobs	Energy; Environment, biodiversity, forestry; Food & agriculture; Public health; Transport; Waste management; Water supply & sanitation	Other, please specify: Toda la comunidad	Increasing	Increasing	High	Short-term (by 2025)	There has been a loss of infrastructure in the provision of public services of aqueduct, sewerage, cleaning and energy; in addition to human losses and displacement of families to other sectors of the city that have changed their social, economic and environmental conditions. The impact has been mitigated and there are strategies to reduce it, there is a risk mitigation program that considers this threa
Cities 2020	54611	Alcaldia de Manizales	Colombia	Latin America	Climate Hazards and Vulnerability	Climate Hazards	7		Chemical change > Atmospheric CO2 concentrations	No	Medium Low	Low	Increased incidence and prevalence of disease and illness; Increased resource demand	Public health; Transport; Waste management	Other, please specify: Toda la comunidad	Increasing	Increasing	High	Medium-term (2026-2050)	The health of the population has been affected by increases in the emission of contami- nated gases; therefore, there is an increase in mortality and morbidity related to air pollution; in addition to public spending on related services
Cities 2020	54611	Alcaldia de Manizales	Colombia	Latin America	Climate Hazards and Vulnerability	Climate Hazards	8		Mass movement > Landslide	Yes	High	High	Fluctuating socio-economic conditions; Increased conflict and/or crime; Increased demand for healthcare services; Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased resource demand; Increased risk to already vulnerable populations; Population displacement	Energy; Food & agriculture; Information & communications technology; Transport; Waste management; Water supply & sanitation	Persons living in sub-standard housing	Increasing	Increasing	High	Immediately	There have been human losses, loss of housing infrastructure, networks for the provision of public services. To date there is a plan for the attention, prevention and mitigation of this threat; but the investments by the territorial entities is growing
Cities 2020	54611	Alcaldia de Manizales	Colombia	Latin America	Climate Hazards and Vulnerability	Climate Hazards	9		Biological hazards > Water-borne disease	Yes	Medium	Medium	Increased demand for healthcare services; Increased incidence and prevalence of disease and illness	Food & agriculture; Public health; Residential; Tourism; Waste management; Water supply & sanitation	Children & youth; Elderly; Low-income households; Women & girls	Increasing	Increasing	High	Immediately	There have been cases of poisoning due to water consumption not suitable for human consumption; a large percentage of rural aqueducts do not have water treatment systems; so your IRCA is High Risk; In addition, the increase in investment of resources for the treatment of diseases will increase. Many of the populations do not want to implement treatment measures because they are not willing to pay bills for the provision of the service; so you should invest in environmental awareness and culture.
Cities 2020	54611	Alcaldia de Manizales	Colombia	Latin America	Climate Hazards and Vulnerability	Climate Hazards	10		Biological hazards > Vector-borne disease	Yes	Medium	Medium	Increased demand for healthcare services; Increased incidence and prevalence of disease and illness; Increased resource demand	Commercial; Environment, biodiversity, forestry; Food & agriculture; Public health; Residential; Tourism; Waste management	Children & youth; Elderly; Women & girls	Increasing	Increasing	Medium	Immediately	Increase in mortality and morbidity in a co-city of the city; greater investment of resources for the attention of personnel, sensitization, investment in mosquito nets and fumigations of the affected area
Cities 2020	54613	Alcaldia de Valdivia	Chile	Latin America	Climate Hazards and Vulnerability	Climate Hazards	1		Flood and sea level rise > Flash / surface flood	Yes	Medium High	Medium High	Increased demand for healthcare services; Increased demand for public services; Increased resource demand; Increased risk to already vulnerable populations	Education; Emergency services; Environment, biodiversity, forestry; Food & agriculture; Land use planning; Public health; Residential; Tourism; Transport; Waste management; Water supply & sanitation	Children & youth; Elderly; Low-income households; Marginalized groups; Persons living in sub-standard housing; Persons with chronic diseases	Do not know	Increasing	Medium	Medium-term (2026-2050)	El análisis de los riesgos generados por inundación de tipo fluvial se llevó a cabo a partir del análisis sucesivode las amenazas y la vulnerabilidad. En el caso de la amenaza, se realizó el levantamiento de un registrohistórico y un modelo de susceptibilidad ante eventos de inundación actual para el área de estudio. Además, seconsideró la evaluación de escenarios tendenciales de 10 a 100 años.
Cities 2020	54613	Alcaldia de Valdivia	Chile	Latin America	Climate Hazards and Vulnerability	Climate Hazards	2		Extreme Precipitation > Fog	Do not know	Medium High	Medium High	Increased demand for healthcare services; Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased resource demand; Increased risk to already vulnerable populations	Commercial; Education; Emergency services; Energy; Environment, biodiversity, forestry; Food & agriculture; Industrial; Land use planning; Public health; Tourism; Transport	Children & youth; Elderly; Low-income households; Persons living in sub-standard housing; Persons with chronic diseases; Persons with disabilities; Women & girls	Do not know	Increasing	Medium	Medium-term (2026-2050)	La ciudad de Valdivia se ha caracterizado por presentar altas precipitaciones durante los meses invernales principalmente. No obstante, en los últimos 10 años este patron ha variado, disminuyendo la frecuencia de precipitaciones  extremas pero aumentando su intensidad y se espera que este patrón se acentúe aún más en el futuro. Por ello, como ciudad se está trabajando en mejorar los colectores de aguas lluvias y conservar ciertos cuerpos de agua naturales (humedales) que se encuentran restringidos en el plan maestro de aguas lluvia, con el fin de evitar grandes inundaciones que afecten a la población.
Cities 2020	54613	Alcaldia de Valdivia	Chile	Latin America	Climate Hazards and Vulnerability	Climate Hazards	3		Water Scarcity > Drought	Yes	Medium	Medium	Increased demand for healthcare services; Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations; Migration from rural areas to cities; Population displacement	Emergency services; Energy; Environment, biodiversity, forestry; Food & agriculture; Land use planning; Public health; Residential; Society / community & culture; Tourism; Water supply & sanitation	Children & youth; Elderly; Marginalized groups; Persons with chronic diseases	Increasing	Increasing	Medium	Medium-term (2026-2050)	La ciudad de Valdivia aún no presenta grandes períodos de sequía, pero existen múltiples estudios, que indican que la frecuencia de las precipitaciones está disminuyendo, lo que también se aprecia en el sentir de la ciudadanía. Si este patrón continúa podría causar grandes problemas de sequía, principalmente en las zonas rurales afectando a la agricultura. Por otra parte el cambio de uso de suelo a plantaciones forestales comerciales, contribuye al decrecimiento de las napas subterráneas y afectación en problemas hídricos a las zonas periféricas de la ciudad.
Cities 2020	54614	Prefeitura da Cidade de São José do Rio Preto	Brazil	Latin America	Climate Hazards and Vulnerability	Climate Hazards	1		Extreme Precipitation > Rain storm	Yes	Medium	Medium	Increased demand for public services	Commercial; Emergency services; Law & order	Other, please specify: População em geral	Decreasing	Decreasing	Low	Immediately	As enchentes acabam sendo consequências da localização da cidade e que são intensificadas pelas  alterações climáticas, como o aumento de temperatura que ocasiona chuvas abundantes na região. Esse evento gera a proliferação do vetor da dengue e  aumenta o número de casos dessa doença.
Cities 2020	54614	Prefeitura da Cidade de São José do Rio Preto	Brazil	Latin America	Climate Hazards and Vulnerability	Climate Hazards	2		Wild fire > Forest fire	Yes	Medium Low	Medium Low	Increased demand for healthcare services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations	Environment, biodiversity, forestry; Public health	Persons with chronic diseases	Decreasing	Decreasing	Medium Low	Short-term (by 2025)	O período de estiagem é considerada um período de seca prolongando na cidade que gera o aumento de incêndios em locais de terrenos e vegetação local oque acarreta uma maior emissão de CO² . O período de estiagem pode ou não aumentar o numero de doenças virais na cidade por conta do ambiente seco que é favorável para a proliferação desses micro-organismos
Cities 2020	54614	Prefeitura da Cidade de São José do Rio Preto	Brazil	Latin America	Climate Hazards and Vulnerability	Climate Hazards	3		Wild fire > Land fire	Yes	Medium Low	Medium Low	Increased demand for healthcare services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations	Environment, biodiversity, forestry; Public health	Persons with chronic diseases	Decreasing	Decreasing	Medium Low	Short-term (by 2025)	O período de estiagem é considerada um período de seca prolongando na cidade que gera o aumento de incêndios em locais de terrenos e vegetação local o que acarreta uma maior emissão de CO² . O período de estiagem pode ou não aumentar o numero de doenças virais na cidade por conta do ambiente seco que é favorável para a proliferação desses micro-organismos
Cities 2020	54614	Prefeitura da Cidade de São José do Rio Preto	Brazil	Latin America	Climate Hazards and Vulnerability	Climate Hazards	4		Flood and sea level rise > River flood	Yes	Medium	Medium	Increased demand for public services	Commercial; Emergency services; Law & order	Other, please specify: População em geral	Decreasing	Decreasing	Low	Immediately	O sistema viário marginal, de alguns dos principais acessos da cidade, é o mais atingido por inundações. As enchentes acabam sendo consequências da localização da cidade e que são intensificadas pelas  alterações climáticas, como o aumento de temperatura que ocasiona chuvas abundantes na região.
Cities 2020	54614	Prefeitura da Cidade de São José do Rio Preto	Brazil	Latin America	Climate Hazards and Vulnerability	Climate Hazards	5		Biological hazards > Vector-borne disease	No	Medium	Medium	Increased demand for healthcare services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations	Public health	Other, please specify: População em geral	Decreasing	Decreasing	Low	Short-term (by 2025)	No período de estiagem pode aumentar o numero de doenças virais na cidade por conta do ambiente seco que é favorável para a proliferação de micro-organismos. Por outro lado, a cidade também é acometida por chuvas abundantes, que são intensificadas pelas  alterações climáticas e podem ocasionar as enchentes e esse evento gera a proliferação do vetor da dengue e  aumenta o número de casos dessa doença.
Cities 2020	54617	Alcaldia de Pereira	Colombia	Latin America	Climate Hazards and Vulnerability	Climate Hazards	1		Mass movement > Landslide	Yes	High	Medium High	Increased risk to already vulnerable populations	Residential	Marginalized groups	Increasing	Increasing	High	Immediately	Poblaciones asentadas en las orillaas de los rios, calsificadas como de riesgo alto no mitigable, con perdida de sus bienes
Cities 2020	54617	Alcaldia de Pereira	Colombia	Latin America	Climate Hazards and Vulnerability	Climate Hazards	2		Storm and wind > Tropical storm	Yes	Medium High	Medium	Other, please specify: Afectación a los sistemas productivos agrícolas de la ciudad	Food & agriculture	Low-income households	Increasing	Increasing	Medium	Immediately	Casas destetachadas y cultivos afectados como el platano y el aguacate
Cities 2020	54617	Alcaldia de Pereira	Colombia	Latin America	Climate Hazards and Vulnerability	Climate Hazards	3		Water Scarcity > Drought	No	Low	Low	Increased demand for public services	Water supply & sanitation		Increasing	Increasing	Medium	Medium-term (2026-2050)	Desabastecimiento en acueductos, especialmente rurales
Cities 2020	54617	Alcaldia de Pereira	Colombia	Latin America	Climate Hazards and Vulnerability	Climate Hazards	4		Mass movement > Landslide		High	Medium				Increasing	Increasing			Poblaciones asentadas en zonas de riesgo alto no mitigable
Cities 2020	54617	Alcaldia de Pereira	Colombia	Latin America	Climate Hazards and Vulnerability	Climate Hazards	5		Mass movement > Avalanche		Medium Low	High				Increasing	Increasing			Poblaciones asentadas en las orillaas de los rios, calsificadas como de riesgo alto no mitigable, con perdida total de sus bienes o vidas
Cities 2020	54620	Gobierno Municipal de la Ciudad de Paraná	Argentina	Latin America	Climate Hazards and Vulnerability	Climate Hazards	1		Flood and sea level rise > River flood	Yes	Medium Low	Medium Low	Fluctuating socio-economic conditions; Increased risk to already vulnerable populations; Population displacement	Public health; Residential; Transport	Children & youth; Elderly	Increasing	Increasing	High	Immediately	Las aguas del río podrían llegar hacia zonas vulnerables de la ciudad. Afectación de la infraestructura edilicia y problemas sanitarios para la población tras el paso del agua. Pérdidas económicas para la población y por recuperación de las infraestructuras. Afectación de los corredores viales. Reconfiguración de las líneas de barranca.
Cities 2020	54620	Gobierno Municipal de la Ciudad de Paraná	Argentina	Latin America	Climate Hazards and Vulnerability	Climate Hazards	2		Flood and sea level rise > Groundwater flood	Do not know	Medium High	Medium High	Fluctuating socio-economic conditions; Increased demand for public services	Food & agriculture; Residential; Waste management	Children & youth; Elderly; Low-income households	Increasing	Increasing	High	Short-term (by 2025)	El aumento de las napas freáticas llega incluso a brotar a la superficie en algunos lugares. Afectación de las infraestructuras edilicias (particularmente residenciales) y de servicios. Inundación de las cavas de gestión de residuos. Pérdida de rendimiento en las actividades agropecuarias.
Cities 2020	54620	Gobierno Municipal de la Ciudad de Paraná	Argentina	Latin America	Climate Hazards and Vulnerability	Climate Hazards	3		Flood and sea level rise > Permanent inundation	Yes	Medium	Medium	Fluctuating socio-economic conditions; Increased demand for public services; Increased risk to already vulnerable populations	Food & agriculture	Elderly; Persons living in sub-standard housing	Increasing	Increasing	Medium	Immediately	Reconfiguración de las áreas productivas locales.
Cities 2020	54620	Gobierno Municipal de la Ciudad de Paraná	Argentina	Latin America	Climate Hazards and Vulnerability	Climate Hazards	4		Biological hazards > Vector-borne disease	Do not know	Medium	Medium	Increased demand for healthcare services; Increased incidence and prevalence of disease and illness	Public health	Children & youth; Elderly	Increasing	Increasing	Medium	Short-term (by 2025)	Dado que la evidencia de estudios epidemiológicos indica que las enfermedades transmisibles (de tipo vectorial, gastrointestinal, respiratoria) son sensibles a los cambios en las variables climáticas como la temperatura y la humedad, se espera que los cambios climáticos proyectados para Paraná en el futuro cercano incrementen la incidencia de estas afecciones.
Cities 2020	54620	Gobierno Municipal de la Ciudad de Paraná	Argentina	Latin America	Climate Hazards and Vulnerability	Climate Hazards	5		Extreme Precipitation > Rain storm	Yes	Medium High	Medium High	Increased demand for healthcare services; Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased resource demand; Increased risk to already vulnerable populations	Energy; Food & agriculture; Water supply & sanitation	Children & youth; Elderly	Increasing	Increasing	Medium	Short-term (by 2025)	Pérdida de rendimiento de actividades productivas. Afectación de las infraestructuras de servicios.
Cities 2020	54620	Gobierno Municipal de la Ciudad de Paraná	Argentina	Latin America	Climate Hazards and Vulnerability	Climate Hazards	6		Extreme hot temperature > Heat wave	Do not know	Medium High	Medium High	Increased demand for healthcare services; Increased demand for public services; Increased incidence and prevalence of disease and illness	Energy; Food & agriculture; Public health	Children & youth; Elderly	Increasing	Increasing	Medium	Short-term (by 2025)	Pérdida de rendimiento de actividades productivas. Afectación a la salud. Problemas para satisfacer la demanda de electricidad.
Cities 2020	54620	Gobierno Municipal de la Ciudad de Paraná	Argentina	Latin America	Climate Hazards and Vulnerability	Climate Hazards	7		Water Scarcity > Drought		Medium	Medium	Fluctuating socio-economic conditions	Environment, biodiversity, forestry; Food & agriculture; Water supply & sanitation	Elderly	Increasing	Increasing	High	Short-term (by 2025)	Pérdida extrema del rendimiento de las actividades productivas locales (agricultura y ganadería). Afectación de los servicios de agua y saneamiento. Considerables desbalances ecológicos.
Cities 2020	54623	Prefeitura de Betim	Brazil	Latin America	Climate Hazards and Vulnerability	Climate Hazards	1		Extreme hot temperature > Heat wave	Yes	Medium	Low	Increased demand for healthcare services	Environment, biodiversity, forestry; Food & agriculture; Public health	Elderly; Persons with chronic diseases	Increasing	Increasing	Do not know		Impact on health and quality of life of the population. Thermal comfort affected. Aggravation of diseases and dehydration (greater in the elderly and children).
Cities 2020	54623	Prefeitura de Betim	Brazil	Latin America	Climate Hazards and Vulnerability	Climate Hazards	2		Water Scarcity > Drought	Yes	Low	Low	Increased incidence and prevalence of disease and illness; Increased resource demand; Increased risk to already vulnerable populations	Environment, biodiversity, forestry; Food & agriculture; Water supply & sanitation	Low-income households	Do not know	Increasing	Do not know		Impact on water supply, agriculture and biodiversity.
Cities 2020	54623	Prefeitura de Betim	Brazil	Latin America	Climate Hazards and Vulnerability	Climate Hazards	3		Extreme hot temperature > Extreme hot days	Yes	High	Low	Increased demand for healthcare services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations	Environment, biodiversity, forestry; Public health; Society / community & culture	Elderly; Low-income households	Increasing	Increasing	Low		Impact on health and quality of life of the population. Thermal comfort affected. Aggravation of diseases and dehydration (greater in the elderly and children).
Cities 2020	54623	Prefeitura de Betim	Brazil	Latin America	Climate Hazards and Vulnerability	Climate Hazards	4		Flood and sea level rise > Flash / surface flood	Yes	High	Medium Low	Fluctuating socio-economic conditions; Increased demand for healthcare services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations	Emergency services; Environment, biodiversity, forestry; Public health	Low-income households; Persons living in sub-standard housing	Decreasing	Decreasing	Do not know		Low impact due to infrastructure works, therefore decreasing in frequency and future intensity.
Cities 2020	54623	Prefeitura de Betim	Brazil	Latin America	Climate Hazards and Vulnerability	Climate Hazards	5		Mass movement > Landslide	Yes	High	High	Increased risk to already vulnerable populations	Emergency services; Public health; Residential	Low-income households; Marginalized groups; Persons living in sub-standard housing	Increasing	Increasing	Do not know		
Cities 2020	54623	Prefeitura de Betim	Brazil	Latin America	Climate Hazards and Vulnerability	Climate Hazards	6		Biological hazards > Vector-borne disease	Yes	High	High	Increased demand for healthcare services; Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations	Public health	Children & youth; Elderly; Low-income households; Persons with chronic diseases	Increasing	Increasing			The diseases transmitted by the Aedes Aegypti mosquito and the severity of these diseases increased, affecting the health and quality of life of the population and overloading the health services.
Cities 2020	54623	Prefeitura de Betim	Brazil	Latin America	Climate Hazards and Vulnerability	Climate Hazards	7		Biological hazards > Insect infestation	Yes	Medium High	High	Fluctuating socio-economic conditions; Increased demand for healthcare services; Increased demand for public services; Increased incidence and prevalence of disease and illness	Environment, biodiversity, forestry; Public health	Children & youth; Elderly; Low-income households; Persons living in sub-standard housing	Increasing	Increasing	High		In the 1960s, less than half of Brazilians lived in cities. Today, almost 90% are in urban areas, and it is from this urban environment that Aedes aegypti likes. For some researchers, another factor that is helping the mosquito spread the dengue viruses, chikungunya and zika is global warming. The proliferation of Aedes increases the occurrence of diseases, affecting the health and quality of life of the population and overloading health services.
Cities 2020	54623	Prefeitura de Betim	Brazil	Latin America	Climate Hazards and Vulnerability	Climate Hazards	8		Extreme Precipitation > Rain storm	Yes	High	High	Increased resource demand; Increased risk to already vulnerable populations	Emergency services; Energy; Environment, biodiversity, forestry; Residential	Low-income households; Persons living in sub-standard housing	Increasing	Increasing	Medium		Considerando que as descargas elétricas dos raios - atinjam elas o solo ou não - produzem óxidos de nitrogênio que reagem com a luz do Sol e com outros gases na atmosfera para produzir ozônio. Considerando que, próximo à superfície terrestre, o ozônio pode ameaçar a saúde de plantas e dos animais - aí incluído o homem. Nas altitudes mais elevadas da atmosfera, ele é um potente gás causador do efeito estufa. Por outro lado, quando ainda mais alto, na estratosfera, ele bloqueia a radiação ultravioleta, que causa câncer no ser humano.
Cities 2020	54623	Prefeitura de Betim	Brazil	Latin America	Climate Hazards and Vulnerability	Climate Hazards	9				Low	Low								
Cities 2020	54623	Prefeitura de Betim	Brazil	Latin America	Climate Hazards and Vulnerability	Climate Hazards	10				Low	Medium								
Cities 2020	54623	Prefeitura de Betim	Brazil	Latin America	Climate Hazards and Vulnerability	Climate Hazards	11				Medium	Medium								
Cities 2020	54623	Prefeitura de Betim	Brazil	Latin America	Climate Hazards and Vulnerability	Climate Hazards	12				Medium	High								
Cities 2020	54625	Prefeitura de Londrina	Brazil	Latin America	Climate Hazards and Vulnerability	Climate Hazards	1		Extreme Precipitation > Rain storm	Yes	Medium High	Medium High	Fluctuating socio-economic conditions; Increased demand for public services; Increased resource demand	Land use planning; Residential; Transport	Low-income households; Marginalized groups; Persons living in sub-standard housing	Increasing	Increasing	Medium	Short-term (by 2025)	enchentes, deslizamentos, falta de abastecimento humano
Cities 2020	54625	Prefeitura de Londrina	Brazil	Latin America	Climate Hazards and Vulnerability	Climate Hazards	2		Storm and wind > Severe wind	Yes	High	High	Increased demand for public services; Increased resource demand	Energy; Environment, biodiversity, forestry; Residential	Low-income households; Persons living in sub-standard housing	Increasing	Increasing	Medium	Medium-term (2026-2050)	queda de árvores, falta de energia elétrica, pessoas desabrigadas
Cities 2020	54625	Prefeitura de Londrina	Brazil	Latin America	Climate Hazards and Vulnerability	Climate Hazards	3		Biological hazards > Insect infestation	Yes	High	High	Increased demand for healthcare services; Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations	Food & agriculture; Public health	Persons living in sub-standard housing; Persons with chronic diseases	Increasing	Increasing	High	Immediately	queda da produção agrícola, aumento de doenças transmitidas por vetores
