Year Reported to CDP	Account Number	Organization	City	Country	CDP Region	Access	Renewable energy or electricity target implemented	Scale	Type	Energy / electricity types covered by target (including unit)	Base year	Total renewable energy / electricity covered by target in base year	Percentage renewable energy / electricity of total energy or electricity in base year	Target year	Total renewable energy / electricity covered by target in target year	Percentage renewable energy / electricity of total energy or electricity in target year	Percentage of target achieved	Please specify plans to meet the target(s) and in which sector this target will be implemented	Population	Population Year	City Location	Last update
2020	49334	City of Richmond, VA	Richmond, VA	United States of America	North America	public	Intending to undertake in the next 2 years												230436	2019	POINT (-77.436 37.5407)	2021-05-20T02:49:34.733
2020	31170	Metropolitan Municipality of Lima	Lima	Peru	Latin America	public	In progress												9485405	2017	POINT (-77.0283 -12.0433)	2021-05-20T02:49:34.733
2020	834126	Dobong-gu Municipal Government		Republic of Korea	East Asia	public	Intending to undertake in the next 2 years												336698	2019		2021-05-20T02:49:34.733
2020	60019	Rajshahi City Corporation		Bangladesh	South and West Asia	public													449756	2011		2021-05-20T02:49:34.733
2020	832097	Município de Lagos		Portugal	Europe	public	Intending to undertake in the next 2 years												30374	2019		2021-05-20T02:49:34.733
2020	43975	Municipalidad de Magdalena del Mar	Magdalena del Mar	Peru	Latin America	public	Intending to undertake in the next 2 years												60290	2017	POINT (-77.067 -12.0917)	2021-05-20T02:49:34.733
2020	73695	Uranga		Argentina	Latin America	public													902	2018		2021-05-20T02:49:34.733
2020	54088	City of Peterborough	Peterborough	Canada	North America	public	Intending to undertake in the next 2 years												82094	2016		2021-05-20T02:49:34.733
2020	36285	Comune di Firenze	Firenze	Italy	Europe	public	Yes	City-wide			2005	324450	15.4	2030	948000	45		national mix + local production + green electricity purchase	378839	2019	POINT (11.2558 43.7696)	2021-05-20T02:49:34.733
2020	826210	Junta Intermunicipal de Medio Ambiente de la Costa Sur (JICOSUR)	JICOSUR	Mexico	Latin America	public	Not intending to undertake												147918	2010	POINT (-104.38 19.34)	2021-05-20T02:49:34.733
2020	840521	City of Denizli		Turkey	Europe	public	Do not know												1027782	2018		2021-05-20T02:49:34.733
2020	73652	Caseros		Argentina	Latin America	public													2339	2010		2021-05-20T02:49:34.733
2020	54092	City of Ann Arbor	Ann Arbor	United States of America	North America	public	Yes	Local government operations	Energy	All energy consumed (percentage)				2035		100		We plan to meet this target with a mixed approach of energy efficiency upgrades as well as renewable energy. We are in the process of identifying and assessing the feasibility of local sites to size a solar installation, as well as leveraging energy resources already owned and/or operated by the City to meet this target.	121890	2018	POINT (-83.743 42.2808)	2021-05-20T02:49:34.733
2020	8242	City of Helsinki	Helsinki	Finland	Europe	public	Yes	City-wide	Electricity	All electricity consumed (percentage)	2015	0	0.1	2035	15	15	1	The goal or produced electricity on site is from carbon neutral Helsinki action plan. The technological feasibility study showed, that there is a potential for 25% share to be produced on site and 15% goal was seen realistic. Helsinki demands solar power in new plot stipulation assignments and is investing 4,5M€ for solar power in city owned public buildings to speed up production.  City owned housing company Heka Ltd. is  also putting solar power to all new construction. Heka's application for Elena funding was also approved and this is is speeding up planning of renewable energy and  energy efficiency measures in renovations. Helsinki is also starting new renovation programme from beginning of 2021 to encourage private building owners to increase renewable energy and energy efficiency in renovation planning. City owned energy company Helen is also hiring private solar panels for residents, who are not able to build those on site, and is reserving large roofs for this purpose. Helsinki has also opened the energy an climate atlas in 2018 to demonstrate what is the renewable energy potential on roofs. https://kartta.hel.fi/3d/atlas/	655395	2020	POINT (24.941 60.1733)	2021-05-20T02:49:34.733
2020	60273	Prefeitura de Extrema	Extrema	Brazil	Latin America	public	In progress												36225	2019	POINT (-46.328 -22.8403)	2021-05-20T02:49:34.733
2020	50782	Dhaka City	Dhaka	Bangladesh	South and West Asia	public	In progress												8000000	2020	POINT (90.4125 23.8103)	2021-05-20T02:49:34.733
2020	49335	Metropolitan Government of Nashville and Davidson County	Nashville	United States of America	North America	public	Yes	Local government operations	Electricity	All electricity consumed (in MWh)	2019	521	3	2041	310000	100	3	An ordinance was just created for a renewable energy portfolio standard program for the Metropolitan Government.The program would begin in 2020, with total carbon-free energy usage standard of at least 53%. This portion would include no less than 20% from “tier one” renewable sources such as solar energy, wind energy, methane, geothermal, ocean, fuel cells charged from such sources, and raw or treated wastewater. Further, the carbon-free energy portion shall consist of at least 2.5% from “tier two” renewable sources such as hydroelectric power or waste-to-energy, and at least 1% from solar energy. The carbon-free energy portion would gradually increase each year, ultimately meeting the goal of 100% carbon-free energy usage in 2041. This ordinance further encourages  Metro to increase its share of ownership in community-based solar programs within Davidson County and any incentives offered by Nashville Electric Service to increase renewable energy sources when available. A strategic plan for achieving the renewable energy portfolio standard will be developed by July 1, 2020. https://www.nashville.gov/Metro-Clerk/Legislative/Ordinances/Details/d30e0174-6c6b-45d8-b93a-05b5d285c76e/2015-2019/BL2019-1600.aspxProjecting the electricity demand in MWh covered by target in 2041 is challenging since planned energy retrofits of city buildings will lower demand, while anticipated population growth  will lead to more city buildings being constructed.  The 310,000 MWh demand in 2041 is an approximation, taking into account these varying factors.	692587	2018	POINT (-86.7816 36.1627)	2021-05-20T02:49:34.733
2020	832838	Town of Wellfleet	Wellfleet	United States of America	North America	public													3500	2018	POINT (-70.031 41.9305)	2021-05-20T02:49:34.733
2020	60092	City of Porvoo	Porvoo	Finland	Europe	public	Not intending to undertake												50380	2019		2021-05-20T02:49:34.733
2020	840914	Prefeitura de Cáceres		Brazil	Latin America	public	Yes	Local government operations			2020	2335	100	2020	2335	100			87942	2010		2021-05-20T02:49:34.733
2020	826243	Alcaldia de Cartago	Cartago	Colombia	Latin America	public	Intending to undertake in the next 2 years												135629	2020	POINT (-83.9194 9.86444)	2021-05-20T02:49:34.733
2020	60374	Alcaldía de Ibagué	Ibagué	Colombia	Latin America	public	Yes	Local government operations			2016	2000	15	2019	1000	50	25	Se han hecho cambio de de 9.000 luminarias de tecnología de Sodio a LED en las comunas 6 y 9, en todos los ejes viales de la ciudad y se tiene publicada en el SECOP II la licitación para el cambio de las luminarias 1, 2, 12 y 13.	564077	2017	POINT (-75.24 4.44851)	2021-05-20T02:49:34.733
2020	63919	City of Saratoga Springs, NY	Saratoga Springs	United States of America	North America	public	In progress												28212	2019	POINT (-73.8167 43.0333)	2021-05-20T02:49:34.733
2020	69973	Alcaldia de Barrancabermeja	Barrancabermeja	Colombia	Latin America	public	Not intending to undertake												210729	2020	POINT (-73.8724 7.06066)	2021-05-20T02:49:34.733
2020	73713	San Miguel		Argentina	Latin America	public	Not intending to undertake												287360	2018		2021-05-20T02:49:34.733
2020	31179	Gemeente Rotterdam	Rotterdam	Netherlands	Europe	public	Yes	City-wide	Energy	Total installed capacity of renewable energy (in MW)	2018	212		2020	316		50	the total of wind energy capacity will grow to 300 MW in the port area and 50 MW on the borders of the city area in 2025;In 2022  the total of solar energy capacity will grow to 150 MW city wide	638181	2018	POINT (4.45093 51.9164)	2021-05-20T02:49:34.733
2020	55324	Município de Guimarães	Guimarães	Portugal	Europe	public	Yes	City-wide	Energy	Other, please specify: Total da capacidade instalada de energia renovável (em MW)+ Total da capacidade instalada de eletricidade renovável (em MW)	2015	529673.4	30	2030	221531	13	10	Produção de calor com fontes de energias renováveis (solar térmico e biomassa)Produção de eletricidade e calor por co-geração com recurso a energias renováveis (biomassa)	152792	2018	POINT (-8.29224 41.4443)	2021-05-20T02:49:34.733
2020	60656	City of Piedmont, CA	Piedmont	United States of America	North America	public	Yes	Local government operations						2018			100	City Council adopted the 100 Renewable plan from East Bay Community Energy to all local government buildings.Information for total electricity  (kwh) not available at the moment. We can work on this once our Climate Fellow starts in September.	11378	2017	POINT (-122.232 37.8244)	2021-05-20T02:49:34.733
2020	848133	Villa Gobernador Gálvez		Argentina	Latin America	public													87131	2018		2021-05-20T02:49:34.733
2020	36261	Comune di Bolzano	Bolzano	Italy	Europe	public	In progress												107914	2019	POINT (11.3566 46.4997)	2021-05-20T02:49:34.733
2020	54670	Prefeitura Municipal de Capivari	Capivari	Brazil	Latin America	public	Intending to undertake in the next 2 years												48576	2010		2021-05-20T02:49:34.733
2020	2185	Bristol City Council	Bristol	United Kingdom of Great Britain and Northern Ireland	Europe	public	Yes	City-wide	Electricity	All electricity consumed (percentage)				2028		30		30% of all electricity consumed in the city is generated from renewable sources by 2028.By 2030, Renewable generation within the city will be maximised, including approx. 350MW solar. New solar PV rooftop installations should be maximised where possible (estimated capacity for 500MW at viable rates of return).By 2044: Next generation wind power generators have been built on suitable sites across the city region.Various projects planned to meet goals, including City Leap  https://www.energyservicebristol.co.uk/prospectus/	463400	2018		2021-05-20T02:49:34.733
2020	31111	Tokyo Metropolitan Government	Tokyo	Japan	East Asia	public	Yes	Local government operations	Electricity	Total installed capacity of renewable electricity (in MW)				2020	22		100	We plan to update TMG'S Smart Energy Action Plan in FY2020 aiming to meet the following goals	13951636	2020	POINT (139.41 35.41)	2021-05-20T02:49:34.733
2020	55371	Municipalidad de Vicente López	Vicente López	Argentina	Latin America	public	In progress												270929	2010	POINT (-68.833 -32.8941)	2021-05-20T02:49:34.733
2020	31009	City of Copenhagen	Copenhagen	Denmark	Europe	public	Yes	City-wide	Energy	Other, please specify: District Heating in Copenhagen is carbon neutral ( 2025)				2025		100	66	Plans to meet target (District Heating) :New CHP plant will go into operation in 2020 (and the last coal fired CHP in Copenhagen will go out of service) Introduction of large scale heat pumps and heat storagestrategy for conversion of peak-load and reserve units (from oil and gas to carbon neutral sources) .Separation of plastic from the waste that is incinerated	623500	2019	POINT (12.5683 55.6761)	2021-05-20T02:49:34.733
2020	45219	Município de Aparecida	Aparecida	Brazil	Latin America	public	Intending to undertake in the next 2 years												36279	2017	POINT (-41.6667 -20.7)	2021-05-20T02:49:34.733
2020	43920	City of Ljubljana	Ljubljana	Slovenia	Europe	public	Yes	Local government operations			2008	162720		2030		25	48	Our EE and RES data are not so detailed. City-owned buildings are already ordering 100% electricity produced from RES.	294054	2020	POINT (14.5058 46.0569)	2021-05-20T02:49:34.733
2020	3422	Greater London Authority	London	United Kingdom of Great Britain and Northern Ireland	Europe	public	Yes	City-wide	Energy	Total installed capacity of renewable energy (in MW)	2018			2030		15	6	The Mayor has a target to meet 15% of energy demand by decentralised energy  and renewable by 2030	8908081	2018	POINT (-0.07868 51.5048)	2021-05-20T02:49:34.733
2020	848483	Oliva (Argentina)		Argentina	Latin America	public													15031	2018		2021-05-20T02:49:34.733
2020	50203	Gaziantep Metropolitan Municipality	Gaziantep	Turkey	Europe	public	Yes	City-wide			2015								2028563	2018		2021-05-20T02:49:34.733
2020	32550	City of Denver	Denver	United States of America	North America	public	Yes	City-wide	Electricity	All electricity produced (in MWh)	2005	0	0	2030	6785420	100	19.8	Calculated based on 2017 Xcel Community Report and 2017 RES energy compliance report. 1.8% of renewables obtained through voluntary programs, remainder through grid mix. (Net metering excluded)	716492	2018	POINT (-104.985 39.7376)	2021-05-20T02:49:34.733
2020	69999	Greifswald	Greifswald	Germany	Europe	public	In progress												57899	2019	POINT (12.3923 54.0865)	2021-05-20T02:49:34.733
2020	54459	City of Reykjavík	Reykjavík	Iceland	Europe	public	Yes	City-wide		Other, please specify: Please note that district heating and electricity are 100% from renewable energy, hydro and geothermal.Transport is the challenge of change in energy use. The goal is that by 2040 emissions from traffic and public transport will be free of ghgs.	2015		100	2040				"Details can be found in Reykjavik City action plan on being carbon neutral by 2040. The goal is that by 2040 emissions from automotive traffic and public transport will be free of green house gases. The City of Reykjavík will put in place initiatives for strengthening public transport through the use of light railways or a bus rapid transit system – a so-called Public Transportation Corridor BORGARLINAN  – in conjunction with the other municipalities within the capital region and the Department for Transport. To marke the energy transition possible part of the climate action plan is to: •	In co-operation with Reykjavík Energy support will be put behind energy exchanges in transport and an increased ratio of electricity-powered modes of transport. This will be achieved by, among other things:  - Make  charging stations available in the city's parking garages.  - Introducing charging stations outside selected municipal buildings for the use of guests and staff.  - The City of Reykjavík working with Reykjavík Energy to garner ideas for introducing charging stations within the city's districts.  - Putting forth a plan of action detailing how city buses and the prospective Public Transportation Corridor can be entirely powered by energy sources free from green house gas emissions.  - Examining the code of conduct regulating the city and its businesses in order to dispel obstacles against electric transport and ease its implementation."	132080	2020	POINT (-21.8174 64.1265)	2021-05-20T02:49:34.733
2020	35897	Municipality of Campinas	Campinas	Brazil	Latin America	public	In progress												1204073	2019	POINT (-46.9372 -22.744)	2021-05-20T02:49:34.733
2020	42120	City of Salvador	Salvador	Brazil	Latin America	public	In progress												2872347	2019	POINT (-38.5023 -12.973)	2021-05-20T02:49:34.733
2020	54289	Wuhan Municipal People's Government	Wuhan	China	East Asia	public	Yes	City-wide	Energy										11081000	2018	POINT (114.325 30.6435)	2021-05-20T02:49:34.733
2020	54623	Prefeitura de Betim	Betim	Brazil	Latin America	public	Do not know												378089	2010	POINT (-44.2012 -19.9673)	2021-05-20T02:49:34.733
2020	827048	Zhenjiang Municipal People's Government		China	East Asia	public	Yes	City-wide			2015			2020		33		Promote the construction of “1+2” (Yangzhong Island, Dantu Shiyezhou and Jiangxinzhou) “near zero carbon” demonstration zone. Take the lead in launching the “zero carbon island” construction, launch the “Sun Island” green energy demonstration project, and fully promote the development and utilization of renewable energy. The main goal of Yangzhong Green Energy Island to zero carbon by 2020 is that the total installed capacity of distributed photovoltaic power generation will reach 400MW or more; the solar thermal households in the whole island will be covered by 100%. All the residents installed solar water heaters, the solar light thermal building integrated construction area reached more than 6 million square meters; wind power installed capacity achieved zero breakthrough, wind power installed capacity reached more than 100MW; biomass biogas utilization reached more than 12 million cubic meters; strengthen smart grid planning and Key technical research, participate in the formulation of national smart grid technical standards, build 10 new energy micro-grid demonstration projects; coal phase out. The main island eliminated all coal-fired boilers, shut down Huatai Thermal Power, and built a natural gas distributed energy station. Through the construction of the above projects, by 2020, the total consumption of clean energy will be 316,100 tons of standard coal, accounting for 33% of the total energy consumption. Yangzhong's renewable energy supply reached more than 711 million kWh, achieving 100% green electricity consumption for residents (residential electricity consumption of 293 million kWh), and 100% green electricity for service industries (service electricity consumption of 112 million kWh) .	3186300	2018		2021-05-20T02:49:34.733
2020	848567	Mid-America Regional Council		United States of America	North America	public													2137829	2018		2021-05-20T02:49:34.733
2020	54037	City of Des Moines	Des Moines	United States of America	North America	public	Intending to undertake in the next 2 years												229062	2019		2021-05-20T02:49:34.733
2020	35903	Le Grand Casablanca	Casablanca	Morocco	Africa	public	In progress												3360000	2014	POINT (-7.56806 33.5206)	2021-05-20T02:49:34.733
2020	54521	BCP Council	Bournemouth	United Kingdom of Great Britain and Northern Ireland	Europe	public	Yes	City-wide	Electricity	All electricity produced (percentage)	2011	146	1	2020	1200	8	1	The Bournemouth, Dorset and Poole Renewable Energy Strategy to 2020 have been developed, and is being implemented, by Dorset Energy Partnership (formerly the Dorset Energy Group). Here is a link to the strategy: https://www.dorsetforyou.com/media/180518/Renewable-Energy---Bournemouth-Dorset-and-Poole-Renewable-Energy-Strategy-to-2020/pdf/Bournemouth__Dorset_and_Poole_Renewable_Energy_Strategy_to_2020.pdf  The aspirational target in the Bournemouth, Dorset and Poole Renewable Energy Strategy to 2020 is 7.5% of total energy consumption equivalent to 1,200GWh of renewable energy, from local on-shore generation by 2020. 546 GWh is equivalent to 3.4% of total energy consumption in February 2015, representing a significant increase from 0.95 % in January 2011. The Strategy covers the production of renewable electricity and renewable heat, within Dorset.   The exact amount of renewable energy which will need to be installed by 2020, to achieve national and international targets and to reduce carbon dioxide emissions, depends on actual future energy demand. If demand for energy falls, so too does the amount of heat, electricity and transport fuel which needs to be generated from renewable resources. This means that both renewable energy generation and energy efficiency measures to reduce demand, must be progressed in parallel. Within Dorset this Strategy will, therefore complement the existing Bournemouth, Dorset and Poole Energy Efficiency Strategy and Action Plan (2009) which is also being delivered by the Dorset Energy Partnership.	395300	2020	POINT (-1.88076 50.7192)	2021-05-20T02:49:34.733
2020	31167	City of Lagos	Lagos	Nigeria	Africa	public	In progress												21000000	2015	POINT (3.3792 6.52437)	2021-05-20T02:49:34.733
2020	59537	City of Denton, TX	Denton	United States of America	North America	public	Yes	City-wide	Electricity	All electricity consumed (in MWh)	2015	515927	43.7	2019	1137500	70	73.3	After years of research, DME came to the conclusion that building a natural gas plant is the best option for securing our Renewable Energy targets. The proposed Denton Energy Center will enable DME to provide 70% renewable energy to residents by generating the on-demand power necessary to sustain production gaps that naturally occur with renewable energy sources. Projected energy sources are as follows; Renewables = 70% (52% Wind, 17% Solar, 1% Landfill Gas); Market Mix = 17%; Quick Start Natural Gas Plant = 13%.	141541	2019	POINT (-97.1331 33.2148)	2021-05-20T02:49:34.733
2020	68373	Prefeitura de Pedreira		Brazil	Latin America	public	Do not know												47321	2018		2021-05-20T02:49:34.733
2020	54662	Prefeitura do Município de Maringá	Maringá	Brazil	Latin America	public	Do not know												417010	2018	POINT (-51.9383 -23.4257)	2021-05-20T02:49:34.733
2020	849041	Gualeguaychú		Argentina	Latin America	public													88965	2018		2021-05-20T02:49:34.733
2020	50541	City of Greensboro	Greensboro	United States of America	North America	public	Yes	Local government operations	Energy	All energy consumed (percentage)	2005		0	2025		40		A 20-year Strategic Energy Plan, including specific steps to meet the targets, is in development.  Availability of draft plan anticipated by August 3, 2021.	296710	2019	POINT (-79.792 36.0726)	2021-05-20T02:49:34.733
2020	35449	Stadt Zürich	Zürich	Switzerland	Europe	public	Yes	City-wide	Energy	Energy produced (percentage)	2005		15	2050		80	43	For the year 2050 the target is that renewable primary energy consumption represents 80% of total primary energy consumed in the base year.	434008	2019	POINT (8.53918 47.3686)	2021-05-20T02:49:34.733
2020	50571	City of Victoria	Victoria	Canada	North America	public	Yes	City-wide	Energy	All energy consumed (percentage)	2007	8821882	36.6	2050	8821882	100	41	Removal of oil heated furnaces. Energy efficiency and low carbon retrofit incentives. Fuel switching to renewable sources such as hydro electricity, renewable natural gas and biofuels. Support for distributed renewable energy, e.g. photovoltaic solar. Support for renewable district energy projects. Support for transportation mode shift to cycling and walking and renewably powered transit.	94000	2019	POINT (-123.366 48.4284)	2021-05-20T02:49:34.733
2020	16581	City of Seattle	Seattle	United States of America	North America	public	Yes	City-wide						2020	1609000	15	52	The Energy Independence Act, known as Initiative 937, was approved by voters in 2006. It requires state electric utilities serving 25,000 or more customers to obtain at least 15 percent of their electricity from new renewable resources by 2020 and undertake all cost-effective energy conservation.For energy conservation, I-937 requires each covered utility to identify its achievable, cost-effective conservation potential over a 10-year period, starting in 2010-2011. Utilities must update those assessments at least every two years.Seattle City Light is meeting or exceeding each of these requirements. For 2010-2011, City Light's energy conservation target was 172,397 megawatt-hours. City Light achieved 267,813 megawatt-hours of energy savings, exceeding the target by 55 percent.On the new renewable energy front, City Light has contracts in place to meet I-937's escalating requirements through 2019, measured in terms of renewable energy credits. One credit is created for every megawatt-hour of new, renewable energy produced. In 2020, City Light's target rises to 1,609,000 renewable energy credits. City Light has 836,000 renewable energy credits in place for 2020 and has eight years before that deadline to acquire the rest.	704352	2016	POINT (-122.332 47.6062)	2021-05-20T02:49:34.733
2020	840936	Prefeitura de Guanhães		Brazil	Latin America	public	Intending to undertake in the next 2 years												34319	2019		2021-05-20T02:49:34.733
2020	848408	Municipio de Cajamarca		Colombia	Latin America	public	Not intending to undertake												17309	2018		2021-05-20T02:49:34.733
2020	31175	City of Paris	Paris	France	Europe	public	Yes	City-wide	Energy	All energy consumed (percentage)	2004	4000000	10	2030	11600000	45	21	for renewable or recovered energy in energy community consumption. (The main renewable energy sources encouraged within the Parisian territory are geothermal and solar. Renewable energies from networks are also taken into account with electricity (mainly hydroelectricity and offshore wind from the French territory) and urban heat (biomass, geothermal, waste incineration from the Parisian region).)	2210875	2018	POINT (2.35222 48.8566)	2021-05-20T02:49:34.733
2020	53959	City of Fayetteville, AR	Fayetteville	United States of America	North America	public	Yes	City-wide	Electricity	All electricity consumed (percentage)	2010	0	0	2050	804341	100	27	1. Advocate to increase utility companies renewable energy portfolio (more wind generation - completed)2. Increase the number of local solar PV installations (offer PACE financing mechanism for local private companies) 3.  Advance state level policies that allow 3rd party financing and ownership to expand access to renewable energy development (completed)	91400	2019	POINT (-94.1719 36.0821)	2021-05-20T02:49:34.733
2020	58485	Abington Township		United States of America	North America	public	Yes	Local government operations			2021	7573	100	2021	7573	100	100	In December 2018, Abington Township signed a three year contract with Constellation Energy to procure 100% Renewable Electricity through January 2021 for all Township operations which is comprised of  the 56 General Service Accounts and the Township's Wastewater Treatment Plant and all of its pumping stations.	55310	2010	POINT (-75.1195 40.1241)	2021-05-20T02:49:34.733
2020	841964	City of Hallandale Beach, FL	Hallandale Beach	United States of America	North America	public	Intending to undertake in the next 2 years												37113	2010	POINT (-80.1484 25.9812)	2021-05-20T02:49:34.733
2020	60264	Prefeitura de Botucatu	Botucatu	Brazil	Latin America	public	Intending to undertake in the next 2 years												144000	2019	POINT (-48.4441 -22.8852)	2021-05-20T02:49:34.733
2020	51075	City of Shenzhen	Shenzhen	China	East Asia	public	Yes	City-wide			2015	13060		2020	17380				13026600	2018	POINT (113.813 22.9175)	2021-05-20T02:49:34.733
2020	31148	City of Amsterdam	Amsterdam	Netherlands	Europe	public	Yes	City-wide	Energy					2030	550			solar power	872380	2020	POINT (4.89516 52.3702)	2021-05-20T02:49:34.733
2020	55800	City of Cambridge	Cambridge, MA	United States of America	North America	public	Yes	Local government operations			2008			2020		100			109694	2014	POINT (-93.3273 45.601)	2021-05-20T02:49:34.733
2020	35877	City of Pittsburgh	Pittsburgh	United States of America	North America	public	Yes	Local government operations	Electricity	All electricity consumed (in MWh)	2008		5	2030		100	100	The City of Pittsburgh runs the Western PA Energy Consortium (WPEC), a buying consortium with 30 local members. WPEC aggregates the electricity procurement in order to capitalize on economies of scale in order to make renewable energy purchasing more feasible. In 2020, the City of Pittsburgh successfully transitioned to 100% renewable electricity though WPEC.	301048	2018	POINT (-79.9959 40.4406)	2021-05-20T02:49:34.733
2020	60114	City of Gdynia	Gdynia	Poland	Europe	public	Yes	City-wide			1999			2020				Increasing power installed in renewable energy sources by 14,4 MW	246348	2019	POINT (18.5305 54.5189)	2021-05-20T02:49:34.733
2020	54108	City of Durham	Durham, NC	United States of America	North America	public	Yes	Local government operations			2018	0	0	2050	100	100	0	Will develop a plan by 2020 outlining how to achieve goals.  Includes electricity, natural gas, and vehicle fuels in government operations.	271616	2018	POINT (-78.8986 35.994)	2021-05-20T02:49:34.733
2020	60546	Nanjing Municipal People's Government	Nanjing	China	East Asia	public	In progress												8500000	2019	POINT (118.797 32.0603)	2021-05-20T02:49:34.733
2020	834139	Gangdong-gu Municipal Government		Republic of Korea	East Asia	public	Intending to undertake in the next 2 years												455042	2020		2021-05-20T02:49:34.733
2020	849023	Uruapan		Mexico	Latin America	public	Intending to undertake in the next 2 years												284264	2010		2021-05-20T02:49:34.733
2020	50357	Ciudad de Mendoza	Mendoza	Argentina	Latin America	public	Intending to undertake in the next 2 years												115041	2010	POINT (-68.8458 -32.8894)	2021-05-20T02:49:34.733
2020	60216	City of Växjö	Växjö	Sweden	Europe	public	Yes	City-wide	Energy	All energy consumed (in MWh)	1993	691069	33	2030	2300000	100	67	"Phasing out peat from heat and Power production is a major step that increases the share of renewables used in residential, industrial, Commercial and public sectors. This was carried out in December 2019. Producing more Power on local level will also make Växjö less dependent on ""Swedish electricity"" which has a relatively high share of nuclear Power.However, for the transport sector, there is still 75% fossil fuels. There we depend much on fuel companies and vehicle producers to succeed."	92567	2018	POINT (14.8091 56.8777)	2021-05-20T02:49:34.733
2020	849016	Concepción del Uruguay		Argentina	Latin America	public													79045	2018		2021-05-20T02:49:34.733
2020	55799	Arlington, VA	Arlington	United States of America	North America	public	Yes	City-wide	Electricity	All electricity produced (percentage)	2007	0	0	2050	100	30	3	Presumption is all 160 MW will be solar photovoltaic. To be achieved throughpromotion, incentives, removal of state regulatory barriers toPV deployment, and use of advanced technologies (e.g.buildingintegratedPV including vertical panels).	226400	2019	POINT (-76.0026 37.2265)	2021-05-20T02:49:34.733
2020	50378	Municipalidad de San José	San José	Costa Rica	Latin America	public	Not intending to undertake												344851	2019	POINT (9.9326 -84.0796)	2021-05-20T02:49:34.733
2020	54282	Hangzhou City People's Government	Hangzhou City	China	East Asia	public	In progress												10360000	2019		2021-05-20T02:49:34.733
2020	50368	Municipalidad de Provincial de Arequipa	Arequipa	Peru	Latin America	public	Intending to undertake in the next 2 years												1009132	2017	POINT (-75.329 -11.0557)	2021-05-20T02:49:34.733
2020	44299	Dangjin City	Dangjin-si	Republic of Korea	East Asia	public	Yes	Local government operations	Energy	All energy produced (in MWh)	2016	295	4.9	2050	8302	100	100	01. Drive Energy Policy- Prevent air pollution from coal-fired power plants and replace eco-friendly facilities for old power generation facilities- Total number of years (30 years) of coal-fired power plants permanently closed02. Expand distributed energy supply- Mandatory installation of new and renewable energy in buildings, public asset photovoltaic installation- Lake water solar, industrial complex solar installation, mini solar power, sunlight power plant03. Energy Demand Management and Efficiency- Creating an energy-saving pilot village, creating an energy-saving store,- Energy saving consulting, LED replacement project, high efficiency facility replacement project,- Energy diagnosis and energy management system, energy saving guards and climate school operation, building energy rating system, vitalization of bicycle riding, and expansion of low carbon vehicle supply.04. Promoting New Energy Industry- Energy Storage System (ESS), Electric Vehicle and Charging Business, and Power Plant Hot Water Heat Utilization Project05. Creating an Eco-friendly Energy Town- Creating an eco-friendly energy town at a coal-fired power plant's ash treatment plant, Nanjido Energy Self-reliance Island06. Realizing Energy Welfare- Energy vouchers, projects to improve energy efficiency for low-income housing, and the expansion of urban gas supply07. Establishing Citizen Participation Governance- Operation of the Energy Citizen Planning Team08. Close all coal-fired power plants in Dangjin by 2050.09. Create RE100(Renewable Energy100%) Industrial Complex- Campaign to Use 100% Renewable Energy Only- Location: 541 Gagok-ri, Songsan-myeon, Dangjin-si, Chungcheongnam-do (use of municipal land)- Plane: 458,900 square meters (138,800 pyeong)- Business period: January 2021 to December 2023. (3 years)	166057	2020		2021-05-20T02:49:34.733
2020	839967	Malargue	Malargue	Argentina	Latin America	public													32006	2018		2021-05-20T02:49:34.733
2020	848976	Pronunciamiento		Argentina	Latin America	public													3600	2018		2021-05-20T02:49:34.733
2020	54298	Dalian Municipal People's Government	Dalian	China	East Asia	public													5952057	2019	POINT (121.567 38.9389)	2021-05-20T02:49:34.733
2020	839650	Ayuntamiento de Uriangato		Mexico	Latin America	public	Intending to undertake in the next 2 years												1241	2015		2021-05-20T02:49:34.733
2020	58668	City of New Bedford, MA	New Bedford	United States of America	North America	public	In progress												95120	2017	POINT (-70.9342 41.6362)	2021-05-20T02:49:34.733
2020	841269	Municipalidad de Montecarlo		Argentina	Latin America	public													25845	2016		2021-05-20T02:49:34.733
2020	57616	City of Lake Forest, IL	Lake Forest	United States of America	North America	public	Intending to undertake in the next 2 years												19446	2019	POINT (-87.8406 42.2586)	2021-05-20T02:49:34.733
2020	31146	Addis Ababa City Administration	Addis Ababa	Ethiopia	Africa	public	Yes	City-wide	Electricity	Total installed capacity of renewable electricity (in MW)	2016	100	100	2020	100	100	100	Ethiopia is aspiring to be a net-zero carbon middle-income economy by 2025 while building a climate-resilientgreen economy. The CRGE Strategy speaks to increasing renewables in electricity generation by20% (wind and solar), 10% from geothermal and continue to produce 70% of the country’s energy from hydro.	3689000	2020	POINT (38.7544 9.02887)	2021-05-20T02:49:34.733
2020	73680	Carcarana		Argentina	Latin America	public													16432	2010		2021-05-20T02:49:34.733
2020	849122	Puerto Madryn		Argentina	Latin America	public													108780	2018		2021-05-20T02:49:34.733
2020	43970	Alcaldía Distrital de Barranquilla	Barranquilla	Colombia	Latin America	public	Do not know												1236489	2019	POINT (-74.7782 10.9815)	2021-05-20T02:49:34.733
2020	73650	Armstrong		Argentina	Latin America	public													11484	2010		2021-05-20T02:49:34.733
