Year Reported to CDP	Account Number	Organization	City	Country	CDP Region	Access	Climate hazard	Adaptation action	Action title	Status of action	Means of implementation	Co-benefit area	Sectors/areas adaptation action applies to	Action description and implementation progress	Finance status	Majority funding source	Currency used for reported financial information	Total cost of project	Total cost provided by the local government	Total cost provided by majority funding source	Web link	Population	Population Year	City Location	Last update
2020	57616	City of Lake Forest, IL	Lake Forest	United States of America	North America	public	Extreme Precipitation > Rain storm	Community engagement/education	Stormwater Support	Operation		Enhanced resilience; Improved resource efficiency (e.g. food, water, energy); Improved resource quality (e.g. air, water); Improved resource security (e.g. food, water, energy); Resource conservation (e.g. soil, water)		Lake Forest has begun to implement water and storm management strategies in order to prevent flash flooding in their city. In the past few years, Lake Forest’s businesses and residents have begun to experience flash floods and subsequently property damage due to increased precipitation. As a result, Lake Forest has provided their citizens resources on green infrastructure such as trees, native plants, bioswales, rain gardens, and green roofs, in order to absorb rainwater and reduce stormwater runoff. Additionally, Lake Forest has installed new illustrative stormwater catch basin grates in some parts of the city, and installed permeable gravel driveway in a local school. Although these actions may be few, Lake Forest is hoping to increase these projects in the future.Sources:https://www.cityoflakeforest.com/assets/1/7/SMC_Residential_Rain_Garden.pdfhttps://www.cityoflakeforest.com/assets/1/7/SMC_Residential_Bioswales.pdfhttps://www.cityoflakeforest.com/assets/1/7/SMC_Residential_Rain_Garden.pdf	Finance secured	Local	USD US Dollar				https://www.cityoflakeforest.com/flooding-and-stormwater-management/  https://www.cityoflakeforest.com/assets/1/7/SMC_Residential_Rain_Garden.pdf  https://www.cityoflakeforest.com/assets/1/7/SMC_Residential_Bioswales.pdf  https://www.cityoflakeforest.com/assets/1/7/SMC_Residential_Rain_Garden.pdf  https://www.cityoflakeforest.com/assets/1/7/SMC_Residential_Rain_Barrels.pdf  https://www.cityoflakeforest.com/assets/1/7/SMC_Residential_Driveways-Patios.pdf  https://www.cityoflakeforest.com/assets/1/7/SMC_Residential_Rain_Barrels.pdf  https://www.cityoflakeforest.com/assets/1/7/SMC_Residential_Driveways-Patios.pdf	19446	2019	POINT (-87.8406 42.2586)	2021-05-20T02:38:05.560
2020	31169	Government of Hong Kong Special Administrative Region	Hong Kong	China, Hong Kong Special Administrative Region	East Asia	public	Extreme Precipitation > Rain storm	Other, please specify: Weather warning, Flood mapping, Crisis management including warning and evacuation systems, Flood defences – development and operation & storage, Nature based solutions for water, Incorporating climate change into long-term planning document	Flood Risk Management	Implementation	Infrastructure development	Disaster preparedness; Disaster Risk Reduction; Ecosystem preservation and biodiversity improvement; Enhanced climate change adaptation; Enhanced resilience; Improved access to data for informed decision-making; Resource conservation (e.g. soil, water); Shift to more sustainable behaviours	Building and Infrastructure	To adapt to climate change and cater for increasing urbanisation, we have been actively commissioning the review studies on Drainage Master Plan (DMP), implementing flood prevention projects, incorporating environmentally friendly measures and promoting blue-green infrastructure. The Government has reviewed the emergency management strategy for landslide and flooding hazards arising from extreme weather events and updated the Contingency Plan for Natural Disasters in October 2019.To monitor the traffic and transport situation, liaise with stakeholders for emergency arrangements and recovery action; and issue advice to keep the media and the public informed of the latest situation.	Finance secured	Local	USD US Dollar	7600000000	7600000000	7600000000	https://www.dsd.gov.hk/EN/Flood_Prevention/index.html	7507400	2019	POINT (114.14 22.2881)	2021-05-20T02:38:05.560
2020	834259	Municipality of Lobos		Argentina	Latin America	public											USD US Dollar					39239	2018		2021-05-20T02:38:05.560
2020	35848	Municipality of Belo Horizonte	Belo Horizonte	Brazil	Latin America	public	Flood and sea level rise > Flash / surface flood	Flood mapping	Carta de Inundações	Monitoring and reporting	Awareness raising program or campaign; Development and implementation of action plan; Infrastructure development; Monitor activities	Disaster preparedness; Disaster Risk Reduction; Enhanced climate change adaptation; Improved access to data for informed decision-making	Spatial Planning	A “Carta de Inundações de BH – Identificação de Áreas Potencialmente Suscetíveis (2009)”, teve como base de dados: (i) os resultados dos estudos de modelagem do sistema de macrodrenagem de Belo Horizonte (2007); (ii) reuniões com as equipes das Administrações Regionais do Município para levantamento dos pontos críticos observados; (iii) manchas de inundação definidas pelo Programa DRENURBS (2003/2004) para os córregos com a calha em situação natural (não revestida); e (iv) avaliação qualitativa de alcance dos trechos de extravasamentos dos córregos, tendo por base as informações obtidas junto aos moradores locais.	Finance secured	Local	BRL Brazilian Real				https://prefeitura.pbh.gov.br/obras-e-infraestrutura/informacoes/diretoria-de-gestao-de-aguas-urbanas/cartas-de-inundacoes	2513451	2019	POINT (-43.9345 -19.9167)	2021-05-20T02:38:05.560
2020	840521	City of Denizli		Turkey	Europe	public	Water Scarcity > Drought	Maintenance/repair – leaking infrastructure	Revision of infrastructure systems to reduce losses in drinking water networks	Implementation		Enhanced climate change adaptation; Improved resource quality (e.g. air, water)		"Target: To prevent damage to the infrastructure from extreme climate events with regular maintenance and technological investments.Stakeholders: DMM, DESKI, PDoEU, DSI, AYKOME, house owners, site managements, TOKI, construction and infrastructure companies.Associated Risk: Disruption of clean water service in some districts due to droughtDisruption of clean water service in the entire province due to drought Activities to be Conducted:	Determination and renewal of end-of-life networks	Determination and renewal of networks with high loss/leakage rate 	Increasing technical investments in order to prevent physical losses and leakages by keeping the potable water under constant observation in terms of water flow, pressure and water quality	Increasing the detections using physical loss detection devices	Replacement of faulty and old meters	Establishing standards in combating physical loss and leakage	Entering all kinds of manufacturing (drinking water, wastewater, rainwater) performed by DESKI to the geographic information system environment and implementation of legal and technical activities."	Feasibility finalized, and finance partially secured		TRY New Turkish Lira					1027782	2018		2021-05-20T02:38:05.560
2020	50578	City of Windsor	Windsor	Canada	North America	public	Extreme hot temperature > Extreme hot days	Heat mapping and thermal imaging	Consider Thermal Comfort and the Urban Heat Island effect in development project design	Implementation	Awareness raising program or campaign; Development and implementation of action plan; Education; Infrastructure development; Monitor activities; Policy and regulation; Stakeholder engagement	Enhanced climate change adaptation; Enhanced resilience; Improved public health; Shift to more sustainable behaviours	Building and Infrastructure; Public Health and Safety; Spatial Planning	Encourage and implement more natural surface low impact development treatments instead of hard surfaces; Enhance landscaping and tree coverage in new public space and public right-of-way development; Continue to consider thermal comfort in park design and incorporate shade sails, tree planting, shade structures, splash pads etc.  Use cooler and lighter hard surfaces in parks and public spaces; Include requirements for Urban Heat Island and Thermal Comfort considerations in Requests For Proposals for road class environmental assessments.	Finance secured	Local	CAD Canadian Dollar				https://www.citywindsor.ca/residents/environment/Environmental-Master-Plan/topics-of-interest/Pages/Urban-Heat-Island.aspx#:~:text=Urban%20Heat%20Island%20Effect&text=This%20phenomenon%20occurs%20from%20patterns,warmer%20than%20less%20dense%20areas.  https://www.citywindsor.ca/residents/environment/Environmental-Master-Plan/Documents/Urban%20Heat%20Island%20Report%20(2012).pdf	233763	2018	POINT (-83.0364 42.3149)	2021-05-20T02:38:05.560
2020	73301	City of Gretna, LA	Gretna	United States of America	North America	public											USD US Dollar					17935	2017	POINT (-90.0542 29.9164)	2021-05-20T02:38:05.560
2020	10894	City of Los Angeles	Los Angeles	United States of America	North America	public	Extreme hot temperature > Extreme hot days	Tree planting and/or creation of green space		Implementation		Ecosystem preservation and biodiversity improvement; Enhanced climate change adaptation		A strong and resilient urban ecosystem is a powerful tool to help keep L.A. and its residents cool. Our sustainability pLAn, L.A's Green New Deal, realizes this vision by expanding the tree canopy in areas of greatest need, putting more parks and open space within walking distance of nearly every L.A. household, accelerating our work to restore the iconic L.A. River, and protecting biodiversity and natural areas while preventing displacement in our communities. We will achieve this with a number of new resources and near-term goals: - In 2019, we increased our urban forestry budget and staffing to pre-recession levels including new urban forestry crews will plant 1,000+ trees, water 1,200+ trees, reduce the dead tree backlog by removing 1,700+ trees, and provide ongoing proactive root pruning for 1,500+ trees.- The City’s first Citywide Urban Forestry Administrator will be hired to oversee all policies and programs related to urban forestry- Planting and supporting 90,000 trees by 2021, which include city-funded tree plantings, pursuing additional grant funding for City trees, and continuing to provide trees to private property owners through City Plants.- Completing an inventory of the City’s trees by 2021, which builds on ongoing work such as the First Steps to LA’s Urban Forestry Management Plan report that was released in December 2018.- LA City’s average tree canopy cover increased from 20% in 2008 to 25% in 2019. We are working to identify our lowest canopy areas and in order to increase their tree canopy cover by 50% by 2028.		Local	USD US Dollar					4021488	2018	POINT (-118.244 34.0522)	2021-05-20T02:38:05.560
2020	36004	City of Abidjan	Abidjan	Côte d'Ivoire	Africa	public											USD US Dollar					5052000	2016	POINT (-4.0083 5.36)	2021-05-20T02:38:05.560
2020	54110	City of Santa Monica	Santa Monica	United States of America	North America	public	Water Scarcity > Drought	Water use audits	Water Use Consultations	Implementation		Enhanced resilience; Improved resource efficiency (e.g. food, water, energy); Improved resource security (e.g. food, water, energy); Shift to more sustainable behaviours		A free service, one of Santa Monica’s water conservation experts will visit your home or business and provide you with specific ways you can reduce your water use and point you to incentives that can help. Santa Monica has partnered with professional landscape designers who will meet with at your home and provide expert advice on ways you can most effectively implement sustainable landscaping in your yard. This service is $50.00 for a two hour consultation.	Finance secured	Local	USD US Dollar				https://www.smgov.net/Departments/OSE/Categories/Water/Water_Saving_Consultations.aspx	91411	2018	POINT (-118.481 34.0219)	2021-05-20T02:38:05.560
2020	50568	City of Saskatoon	Saskatoon	Canada	North America	public	Water Scarcity > Drought	Other, please specify: Storm Water Management Planning, conservation promos and rebates for rain barrels/low-flow fixtures, drought-tolerant and naturalized park space conversions, non-potable irrigation, and capacity expansion as part of long term infrastructure planning	Water Management Activities	Scoping		Disaster Risk Reduction; Ecosystem preservation and biodiversity improvement; Enhanced climate change adaptation; Improved resource efficiency (e.g. food, water, energy); Improved resource security (e.g. food, water, energy); Resource conservation (e.g. soil, water); Shift to more sustainable behaviours		"These actions described above are in various states of progress from ""in-progress"" to ""scoping"". The actions also create resiliency toward extreme precipitation risk in some cases."	Pre-feasibility/impact assessment study status		CAD Canadian Dollar				https://www.saskatoon.ca/sites/default/files/documents/corporate-performance/environmental-corporate-initiatives/climate-change/2016_-_report_-_existing_climate_change_adaptation_strategies.pdf	275242	2019	POINT (-106.67 52.1332)	2021-05-20T02:38:05.560
2020	832002	Municipalidad de Quepos		Costa Rica	Latin America	public	Water Scarcity > Drought	Nature based solutions for water	Inventario de las zonas de recarga acuífera, nacientes y cuerpos de agua del cantón de Quepos	Pre-implementation	Capacity building and training activities; Development and implementation of action plan	Enhanced resilience; Improved resource security (e.g. food, water, energy)	Water	"La acción es permanente, incluye completar un Inventario de las zonas de recarga acuífera, nacientes y cuerpos de agua del cantón de Quepos para promover e implementar un plan de protección y regulación. De la mano de esta acción se requiere capacitar a las ASADAS para optimizar la gestión del recurso. 	Se realiza mediante convenios con la academia (proyectos de graduación, prácticas supervisadas, etc), CCCQ. 	Ya se cuenta con un estudio de vulnerabilidad de Asadas elaborado como Proyecto de graduación. Y se ha capacitado en planes de seguridad del agua a 7 ASADAS del cantón."	Feasibility finalized, and finance partially secured	Public-private partnership	CRC Costa Rican Colon					26861	2011		2021-05-20T02:38:05.560
2020	36037	Santiago de Cali	Santiago de Cali	Colombia	Latin America	public	Extreme hot temperature > Extreme hot days	Incorporating climate change into long-term planning documents	Plan Integral de Mitigación y Adaptación al Cambio Climático para Santiago de Cali	Implementation		Ecosystem preservation and biodiversity improvement; Enhanced climate change adaptation; Enhanced resilience; Improved resource quality (e.g. air, water)		Actualmente se han implementado varias de las estrategias de los ejes transversales, en especial la estrategia de ecobarrios en los barrios salomia, aguacatal, Santa Helena y en el Barrio San Antonio que llevaron a la obtención del sello EcoQuartier en primera y segunda etapa de la embajada francensa en Colombia. También se ha logrado un importante avance en la promoción del uso de la bicicleta, con la construcción ciclo-rutas y ciclo-parqueaderos y  el fomento de la conducción verde a través talleres de conducción eficiente y la implementación del Plan lleva.	Feasibility finalized, and finance partially secured	(Sub)national	COP Colombian Peso	54602600000	8000000000		http://www.cali.gov.co/dagma/loader.phplServicio=Tools2&lTipo=descargas&lFuncion=descargar&idFile=23081  https://www.cali.gov.co/dagma/loader.phplServicio=Tools2&lTipo=descargas&lFuncion=descargar&idFile=41337  https://www.cali.gov.co/dagma/loader.phplServicio=Tools2&lTipo=descargas&lFuncion=descargar&idFile=41338  https://www.cali.gov.co/dagma/loader.phplServicio=Tools2&lTipo=descargas&lFuncion=descargar&idFile=46618  https://www.cali.gov.co/dagma/loader.phplServicio=Tools2&lTipo=descargas&lFuncion=descargar&idFile=46619  https://www.cali.gov.co/dagma/loader.phplServicio=Tools2&lTipo=descargas&lFuncion=descargar&idFile=46620	2470852	2019	POINT (-76.532 3.45164)	2021-05-20T02:38:05.560
2020	54060	City of Greater Sudbury / Grand Sudbury	Sudbury	Canada	North America	public		Awareness campaign/education to reduce water use	EarthCare Minutes	Operation				EarthCare Sudbury ads		Local	CAD Canadian Dollar				https://www.greatersudbury.ca/live/environment-and-sustainability1/earthcare-sudbury/earthcare-minute/	161531	2016	POINT (-80.9645 46.5268)	2021-05-20T02:38:05.560
2020	54513	Municipality of Uppsala	Uppsala	Sweden	Europe	public	Extreme hot temperature > Heat wave	Projects and policies targeted at those most vulnerable	Planning for a warmer city	Operation		Enhanced climate change adaptation; Enhanced resilience; Improved public health		"In the development of the current Comprehensive plan of Uppsala, one of the background reports was: ""Planning for a warmer city - climate adaptation of the physical environment"". The report focuses on the combination of heat waves, enhanced temperatures and the phenomena of 'urban heat islands'. Different methods and actions to reduce the effects of these in physical planning are identified and analyzed.Financing: No costs besides personnel costs."	Finance secured	Local	SEK Swedish Krona	0	0		https://www.uppsala.se/contentassets/fb119146f47f47c4b0e5d151a63e7e81/op2016-underlagsrapport-planering-for-en-varmare-stad.pdf	230767	2019	POINT (17.635 59.8536)	2021-05-20T02:38:05.560
2020	73781	Singra		Bangladesh	South and West Asia	public											BDT Bangladeshi Taka					33192	2011		2021-05-20T02:38:05.560
2020	848129	Esquías		Honduras	Latin America	public	Water Scarcity > Drought	Tree planting and/or creation of green space	Plan de Restauración del municipio de Esquias; Proyecto Manejo Sostenible del Bosque	Implementation	Development and implementation of action plan	Enhanced climate change adaptation	Agriculture and Forestry	Implementacion del plan de restauración para la recuperacion de 3065 hectáreas de bosque  de pino donde se han realizado actividades de protección forestal, manejo de biomasa, construcción de vivero y plantación	Finance secured	International (ODA)	HNL Lempira	75541105	15108221	60432884		18308	2018		2021-05-20T02:38:05.560
2020	60168	Derry City & Strabane	Derry	United Kingdom of Great Britain and Northern Ireland	Europe	public	Flood and sea level rise > River flood	Flood mapping	DCSDC Climate Change Adaptation Plan Risk Analysis	Pre-feasibility study/impact assessment	Assessment and evaluation activities; Awareness raising program or campaign; Capacity building and training activities; Infrastructure development; Stakeholder engagement	Disaster preparedness; Disaster Risk Reduction; Enhanced climate change adaptation; Enhanced resilience	Agriculture and Forestry; Building and Infrastructure; Business and Financial Service; Energy; ICT (Information and Communication Technology); Industry; Public Health and Safety; Spatial Planning; Transport (Mobility); Waste; Water	Flood mapping undertaken as part of DCSDC risk analysis and adaptation planning exercise. This includes identifying key assets at risk flooding and planning for community resilience.	Pre-feasibility/impact assessment study status	Local	GBP Pound Sterling					150679	2019		2021-05-20T02:38:05.560
2020	31114	City of Sydney	City of Sydney	Australia	Southeast Asia and Oceania	public	Extreme hot temperature > Heat wave	Heat mapping and thermal imaging	Heat Mapping	Operation	Assessment and evaluation activities; Monitor activities	Disaster preparedness; Enhanced climate change adaptation; Enhanced resilience; Improved access to and quality of mobility services and infrastructure; Improved public health; Social community and labour improvements; Social inclusion, social justice	Building and Infrastructure; Energy; Industry; Spatial Planning	Heat mapping every four years to gauge success of canopy, green roofs and other UHI mitigation.	Finance secured	Local	AUD Australian Dollar	30000	30000			249676	2019	POINT (151.207 -33.8675)	2021-05-20T02:38:05.560
2020	50394	Prefeitura Municipal de João Pessoa	João Pessoa	Brazil	Latin America	public											BRL Brazilian Real					723515	2010	POINT (-34.8639 -7.16882)	2021-05-20T02:38:05.560
2020	840070	Somerset West and Taunton		United Kingdom of Great Britain and Northern Ireland	Europe	public	Flood and sea level rise > Coastal flood	Community engagement/education	Multiple comms campaigns	Scoping	Awareness raising program or campaign; Education; Stakeholder engagement	Disaster preparedness; Improved resource efficiency (e.g. food, water, energy); Reduced GHG emissions; Resource conservation (e.g. soil, water); Shift to more sustainable behaviours; Social inclusion, social justice	Building and Infrastructure; Energy; Transport (Mobility); Waste; Water	Multiple communications campaigns are planned for the coming year including in relation to water conservation, projected climate impacts, flooding, retrofit etc. Actions identified in the emerging Carbon Neutrality and Climate Resilience Action Plan.	Pre-feasibility/impact assessment study status	Local	GBP Pound Sterling					155115	2019		2021-05-20T02:38:05.560
2020	10894	City of Los Angeles	Los Angeles	United States of America	North America	public	Extreme Precipitation > Rain storm	Water butts/rainwater capture		Operation				The Department of Water and Power offers rebates to residential customers for encouragement of cisterns/rain barrels for rainwater capture		Local	USD US Dollar					4021488	2018	POINT (-118.244 34.0522)	2021-05-20T02:38:05.560
2020	53921	City of Tempe, AZ	Tempe	United States of America	North America	public	Chemical change > Atmospheric CO2 concentrations	Community engagement/education	City to University Partnerships: GCSO I & II CapaCities	Implementation complete but not in operation	Awareness raising program or campaign; Capacity building and training activities; Stakeholder engagement	Enhanced climate change adaptation; Enhanced resilience; Improved access to and quality of mobility services and infrastructure; Improved public health; Improved resource efficiency (e.g. food, water, energy); Improved resource quality (e.g. air, water); Improved resource security (e.g. food, water, energy); Reduced GHG emissions; Resource conservation (e.g. soil, water)	Agriculture and Forestry; Building and Infrastructure; Energy; Industry; Public Health and Safety; Spatial Planning; Transport (Mobility)	Initially, the CapaCities program focused on developing and implementing game-based workshops to increase city staff’s knowledge and awareness of sustainability challenges, opportunities, and ongoing efforts in the city. In the second year, the focus was on the development of Tempe’s first Climate Action Plan.	Finance secured	International (ODA)	USD US Dollar	235000	10000	225000	https://www.tempe.gov/government/sustainable-tempe/grants#GSCO%20I%20and%20II%20–%20CapaCities	192364	2018	POINT (-111.94 33.4255)	2021-05-20T02:38:05.560
2020	35993	Singapore Government	Singapore	Singapore	Southeast Asia and Oceania	public	Storm and wind > Storm surge	Incorporating climate change into long-term planning documents		Monitoring and reporting				Two coastal roads in Singapore have been raised to protect our coast against the impacts of sea-level rise. In addition, more than 70 per cent of Singapore’s coastline is protected with hard structures such as seawalls and rock slopes	Finance secured	Local	SGD Singapore Dollar	0	0		Climate Action Plan – For A Sustainable Futurehttps://www.nccs.gov.sg/docs/default-source/publications/a-climate-resilient-singapore-for-a-sustainable-future.pdfIntentional response not to include numerical figures in column for total costs. .	5640000	2018	POINT (103.82 1.35208)	2021-05-20T02:38:05.560
2020	59644	City of Culver City, CA	Culver City	United States of America	North America	public	Chemical change > Atmospheric CO2 concentrations	Tree planting and/or creation of green space	Urban Forest Master Plan	Operation	Education; Financial mechanism; Infrastructure development; Policy and regulation	Ecosystem preservation and biodiversity improvement; Enhanced resilience; Improved resource quality (e.g. air, water); Reduced GHG emissions		Culver City adopted an award-winning Urban Forest Master Plan in 2016 to care for and maintain its urban forest, a cornerstone of the City's commitment to the environment and environmental sustainability. The Urban Forest Masterplan conceives a green infrastructure that includes the urban forest, parkland, sustainable transportation networks, and pedestrian areas. It provides a vision for Culver City's urban forest and a structured framework of five action areas and related strategies to support achieving this vision. In 2017, Culver City and Artecho (the consultants who helped to prepare the City's 2016 Urban Forest Master Plan) received the American Society of Landscape Architect's Merit Award in recognition of outstanding professional achievement. In recognition of the City's Urban Forest Master Plan, Culver City was named a Tree City USA through a national recognition program sponsored by the Arbor Day Foundation in conjunction with the U.S. Forest Service and National Association of State Foresters.https://web.culvercity.org/files/Culver_City_Urban_Forest_Master_Plan.pdf	Finance secured	Local	USD US Dollar	85000	10000	75000	https://web.culvercity.org/files/Culver_City_Urban_Forest_Master_Plan.pdf	39295	2018	POINT (-118.4 34.02)	2021-05-20T02:38:05.560
2020	58395	Bærum Kommune	Bærum	Norway	Europe	public	Flood and sea level rise > River flood	Flood mapping	Safety zone for buildings and other facilities	Implementation	Capacity building and training activities; Development and implementation of action plan; Monitor activities	Disaster preparedness; Disaster Risk Reduction; Ecosystem preservation and biodiversity improvement; Enhanced climate change adaptation; Enhanced resilience; Improved access to and quality of mobility services and infrastructure; Improved access to data for informed decision-making; Improved public health; Social community and labour improvements	Building and Infrastructure; Energy; ICT (Information and Communication Technology); Industry; Spatial Planning; Transport (Mobility); Water	Safety zone for buildings and other facilities has been completed. After several analyses, a map was established that shows where the height (2.5 meters above sea level) is to build building and other facilities in a risk-free manner. By building outside the risk zone, the risk of flood damaging buildings is reduced. The map has become part of the strategic documents and is intended for all plans approved by the municipality	Finance secured	Local	NOK Norwegian Krone	50000	50000	0		127867	2019	POINT (10.5938 59.9205)	2021-05-20T02:38:05.560
2020	73694	Chacabuco		Argentina	Latin America	public	Extreme hot temperature > Heat wave	Tree planting and/or creation of green space	Programa de arbolado	Implementation	Assessment and evaluation activities	Ecosystem preservation and biodiversity improvement; Enhanced resilience; Improved resource quality (e.g. air, water); Reduced GHG emissions	Spatial Planning	Se lanzó el Programa de Arbolado Publico donde se tiene como objetivo para el 2019 plantar 5000 árboles, en este Programa también se implementó “Nace un Niño Nace un Árbol” donde el Municipio planta un árbol por niño nacido.Objetivos Generales del proyecto:Reforestar Chacabuco en los espacios verdes municipales, y hacer cumplir con la Ordenanza Municipal que obliga a los frentistas tener su árbol.Tener ejemplares en el 8% de los espacios verdes, el cual es cedido por los vecinos al obtener un terreno.Indicadores/Medición y verificaciónÁrboles plantados por añoVinculación con Plan de Acción Nacional: InfraestructuraObjetivos de Desarrollo Sostenible (ODS): 11,  13 y 15	Feasibility undertaken		USD US Dollar					51962	2018		2021-05-20T02:38:05.560
2020	43932	Auckland Council	Auckland	New Zealand	Southeast Asia and Oceania	public	Water Scarcity > Drought	Diversification of water supply	Action B4: Identify and deliver alternative water supply options to address population growth and climate change while protecting and enhancing te Mauri o te Wai	Implementation	Development and implementation of action plan	Enhanced resilience	Building and Infrastructure	Policies in the resource management plans that address drought and efficient water use at a significant scale across most of the city. This includes the requirement for municipal water supplies to have a drought management plan and these plans would detail specific restrictions and standards when its required. Auckland is in the process of developing a water strategy for the region, aligning with Auckland's Climate Plan. In addition, Watercare Ltd (a council-controlled organisation) has in place a climate strategy, taking a dynamic adaptive policy pathways approach to water management.	Feasibility undertaken	(Sub)national	NZD New Zealand Dollar				https://ourauckland.aucklandcouncil.govt.nz/articles/news/2020/07/te-taruke-a-tawhiri-auckland-s-climate-plan-reaches-milestone/	1618400	2018	POINT (174.742 -36.8153)	2021-05-20T02:38:05.560
2020	833284	West Midlands Combined Authority		United Kingdom of Great Britain and Northern Ireland	Europe	public	Extreme hot temperature > Extreme hot days	Resilience and resistance measures for buildings	West Midlands Design Charter	Implementation	Policy and regulation	Economic growth; Enhanced climate change adaptation; Promote circular economy; Reduced GHG emissions	Building and Infrastructure; Spatial Planning	The West Midlands Design Charter was launched in January 2020 with the aim of supporting better design and placemaking across the West Midlands area. It was developed in conjunction with local authority partners and uptake is voluntary. It will provide an extra tool for local planning authorities to secure good urban design and high quality development. Stratford District Council (a non-constituent authority of the WMCA) has already adopted the 12 principles as planning policy.It will also be used as a guidance document for developments funded through the WMCA’s Single Commissioning Framework – a funding pot of several hundred million pounds. Much of this funding is being channelled at housing and commercial schemes on the region’s former industrial (brownfield) sites, helping to relieve pressure on the Green Belt.There are twelve principles included in the Charter. Principle 5 relates to climate resilience:'Climate Resilience:  Developments should incorporate climate adaptation measures that respond to the short and long term impacts of climate change and address the environmental impact of the proposal across its lifecycle'. Principle 6 also links to low carbon development:'Delivering Low Carbon Development: Development proposals should seek to reduce greenhouse gas emissions by making clear, specific commitments to carbon reduction. The potential for new schemes to meet zero net carbon should be considered from the outset'.	Pre-feasibility/impact assessment study status		GBP Pound Sterling				https://www.wmca.org.uk/media/3647/wmdesigncharter.pdf	2928592	2019		2021-05-20T02:38:05.560
2020	36494	Comune di Padova	Padova	Italy	Europe	public	Extreme hot temperature > Heat wave	Shading in public spaces, markets	New startands for increasing the resilience of open spaces through the local building code	Implementation	Policy and regulation	Disaster Risk Reduction; Ecosystem preservation and biodiversity improvement; Enhanced resilience	Agriculture and Forestry; Public Health and Safety; Spatial Planning		Finance secured	Local	EUR Euro					210440	2017	POINT (11.8768 45.4064)	2021-05-20T02:38:05.560
2020	60271	Prefeitura de Bertioga	Bertioga	Brazil	Latin America	public	Extreme Precipitation > Rain storm	Storm water capture systems	Obras de macro e micro drenagem	Operation	Infrastructure development	Improved access to and quality of mobility services and infrastructure; Resource conservation (e.g. soil, water)	Spatial Planning	Varias obras de macro e micro drenagem vem sendo implantada no Município. Algumas obras já foram concluídas e estão em operação, outras se encontram em fase de obra e / ou em processo licitatório.	Finance secured	Other, please specify: Caixa Econômica Federal no âmbito do Programa FINISA	BRL Brazilian Real	30000000	0	30000000		64723	2020	POINT (-46.0599 -23.8081)	2021-05-20T02:38:05.560
2020	60408	Municipalidad de Talca		Chile	Latin America	public	Extreme Precipitation > Rain storm	Flood mapping	Plan de Emergencia	Pre-implementation		Disaster preparedness; Disaster Risk Reduction; Enhanced climate change adaptation; Enhanced resilience; Improved resource efficiency (e.g. food, water, energy); Poverty reduction / eradication		Se trata de un plan de acción que incluye coordinación con los distintos departamentos municipales y gubernamentales tales como ONEMI,  Bomberos, Carabineros entre otros. ademas se considera un plan de manutenciones de la red de aguas lluvias y colectores.	Feasibility finalized, and finance partially secured	Other, please specify: Fondo Común Municipal	CLP Chilean Peso	30000000	30000000			220357	2017		2021-05-20T02:38:05.560
2020	74546	City of Milwaukie, OR		United States of America	North America	public	Extreme Precipitation > Rain storm	Flood mapping	Floodplain reassessment and  reactive land use planning	Pre-implementation	Policy and regulation	Disaster Risk Reduction	Building and Infrastructure; Public Health and Safety; Spatial Planning				USD US Dollar					20291	2010		2021-05-20T02:38:05.560
2020	36274	Comune di Bologna	Bologna	Italy	Europe	public	Water Scarcity > Drought	Storm water capture systems		Implementation complete but not in operation				The University of Bologna - Faculty of Agriculture, together with the BLUEAP team, studied how to collect water with a rooftop harvesting system and to use the collected water to irrigate an experimental orchard 17,700 square meters wide  (Pilot action set up within the Life BLUEAP Project). Another important action is the recovery of the canal network running through and under the city; some canals are affected by illegal water discharges from buildings built over the centuries. A monitoring and recovery action have been started and it is currently being implemented.			EUR Euro					390636	2018	POINT (11.3387 44.4938)	2021-05-20T02:38:05.560
2020	60142	City of Kisumu	Kisumu	Kenya	Africa	public	Water Scarcity > Drought	Improve water supply distribution method	Improve Environmental and natural resources management (land, water, air) within the City by 25% in five years	Implementation	Awareness raising program or campaign; Capacity building and training activities; Infrastructure development; Stakeholder engagement	Disaster Risk Reduction; Improved resource efficiency (e.g. food, water, energy); Improved resource security (e.g. food, water, energy); Resource conservation (e.g. soil, water)	Public Health and Safety; Water	Community members are educated on how to adapt to the changing  water supply patterns by storing water or trapping rainwater  beside  reduction of water wastage.The  CGK-Water Department  has a number of projects in between planning and execution :                   Purchase of 2 water bowsers procured by the.                   Drilling and equipping/up grading of boreholes to increase water production.                   Rehabilitate and expand Maseno Kombewa water supply treatment works for increased                     production efficiency .                    Promotion of rainwater harvesting systems at institutions which will increase rainwater                     storage facilities at institutions from 3000M3 to 10,000 M3.                   Increase water storage capacity in rural are from 5842 M3 to 35,000M3                  Desilting of existing water pans so as to improve storage and holding  capacity of existing                   pans	Finance secured	Public-private partnership	KES Kenyan Shilling	1250000000	1250000000		https://roggkenya.org/wp-content/uploads/Kisumu_CIDP_2018-2022_County-Integrated-Development-Plan.pdf	1155574	2019	POINT (34.7679 -0.0917)	2021-05-20T02:38:05.560
