Year Reported to CDP	Account Number	Organization	City	Country	CDP Region	Access	City boundary	Type of target	Sector	Identify and explain sources that differ from the inventory	Target boundary relative to city boundary	Base year	Year of target introduction	Base year emissions (metric tonnes CO2e)	Percentage reduction target	Target year	Target year absolute emissions (metric tonnes CO2e)	Projected population in target year	Intensity unit (Emissions per)	Base year emissions per intensity unit (metric tonnes CO2e per denominator)	Estimated business as usual absolute emissions in target year (metric tonnes CO2e)	Percentage of target achieved so far	Select the initiatives that this target contributes towards	Description of the target and the modelling methodology(ies) and parameters used to define it	Does this target align with the global 1.5 - 2°c pathway set out in the Paris Agreement?	Does this target align or correspond to a requirement from a higher level of government?	Target description	Population	Population Year	City Location	Last update
2020	840035	Cerrito		Argentina	Latin America	public																									2021-05-20T02:33:48.460
2020	826201	Ayuntamiento de Zapopan		Mexico	Latin America	public	City / Municipality	Baseline scenario (business as usual) target	Energy		Same – covers entire city and nothing else	2016	2020	2100231	9.4315	2030					2920279		Global Covenant of Mayors for Climate & Energy; Other, please specify: ODS	Se ponderaron los compromisos de emisión a nivel nacional por sector para integrarlas en las metas de reducción de este sector. En nuestro sector de energía estacionaria se calculó el subsector; Residencial, Comercial, Industrial  y Agrícola. Los compromisos de reducción a nivel nacional son los siguientes; Residencial comercial 18%, Industrial 5%, Agricultura ganadería 5%. Ponderando los valores, da un total de meta de reducción para este sector de 9.4315%	Yes - 1.5 °C	Yes	Se adopta las metas a nivel nacional, determinadas por las NDC para el año 2030.  El reto es reducir el 22% de emisiones de Gases del efecto Invernadero de el año 2030.  Correspondiente a nuestras emisiones, y los compromisos de reducción por subsector antes mencionados.	1332272	2015		2021-05-20T02:33:48.460
2020	834167	Kochi Municipal Corporation	KOCHI	India	South and West Asia	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2030	2018												Yes - 1.5 °C	Yes		601574	2011	POINT (76.2673 9.93123)	2021-05-20T02:33:48.460
2020	36501	Comune di Prato	Prato	Italy	Europe	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2009	2015	963239	20	2020	770591.2					10.33	Global Covenant of Mayors for Climate & Energy		Do not know	Do not know	Now the goal  is the reduction of CO2 emissions within 40% by 2030  PAESC Sustainable Energy  and Climate action plan has been implementing, approved  by city council in October  24, 2019, reference n.79 and signed by Mayor	195335	2020		2021-05-20T02:33:48.460
2020	54510	Umeå municipality	Umeå	Sweden	Europe	public	City / Municipality	Base year emissions (absolute) target	Transport	New  GHG emission reduction target described here. To be adopted formaly during the autumn of 2019.	Larger – covers the whole city and adjoining areas	2010	2019	189638	100	2030	0					0			Do not know	Yes	The climate impact from transportation in Umeå should decrease. It will do this because the fuels are to be fossil-free in 2030 and sustainable travel will increase.	127119	2018	POINT (20.263 63.8258)	2021-05-20T02:33:48.460
2020	59562	City of Urbana, IL		United States of America	North America	public	City / Municipality	Base year emissions (absolute) target			Same – covers entire city and nothing else																	41250	2010		2021-05-20T02:33:48.460
2020	31117	City of Toronto	Toronto	Canada	North America	public	City / Municipality	Base year emissions (absolute) target	Energy		Same – covers entire city and nothing else	2016	2019		100	2050									Yes - 2 °C	Yes, but it exceeds its scale or requirement	TransformTO is Toronto’s climate action strategy to reduce local greenhouse gas emissions, increase climate resilience, improve our health, grow our economy, and improve social equity. In October 2019, Toronto City Council declared a climate emergency, deepening the City's commitment to addressing climate change. As part of the climate emergency declaration, Toronto's long-term greenhouse gas (GHG) reduction target was revised. The City's new targets (based on 1990 levels) are: 30 per cent by 2020 65 per cent by 2030 Net zero by 2050, or soonerAchieving these targets will require transformational changes in how we live, work, build and commute, and everyone will have a role in transforming Toronto into a low-carbon city.For more information on TranformTO please see link attached:https://www.toronto.ca/services-payments/water-environment/environmentally-friendly-city-initiatives/transformto/TransformTO supports Council's Strategic Action Plan. See:  https://www.toronto.ca/wp-content/uploads/2018/01/960a-strategicplan-AODA.pdfFor more details on how we are addressing these goals please see the climate emergency declaration in the link below:http://app.toronto.ca/tmmis/viewAgendaItemHistory.doitem=2019.MM10.3Please see link below for the TransformTO report:http://app.toronto.ca/tmmis/viewAgendaItemHistory.doitem=2017.PE19.4	2919971	2018	POINT (-79.3832 43.6532)	2021-05-20T02:33:48.460
2020	74401	City of Encinitas, CA	Encinitas	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2012	2018	483773	13	2020	420882.51					100			Do not know	Yes	The city's target aligns with the state of California's  targets  established by  Senate Bill 350.	62038	2016	POINT (-117.293 33.0454)	2021-05-20T02:33:48.460
2020	54116	City of Dubuque	Dubuque	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2003	2013	1266234	50	2030	633117					27	Global Covenant of Mayors for Climate & Energy; STAR Communities		No	No	compatible to global pathway to 1.89 C	57882	2019	POINT (-90.5071 42.5006)	2021-05-20T02:33:48.460
2020	55801	City of West Palm Beach	West Palm Beach	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory	Not applicable.	Same – covers entire city and nothing else	2008	2016	5513890	100	2050	0					13	Global Covenant of Mayors for Climate & Energy; LEED for Cities		Yes - 2 °C	No	We conducted a community-wide inventory in 2019 with Kim Lundgren and Associates, reporting on the 2018 calendar year. Moving forward, we will start working on community-wide inventories every three years to comply with our municipal regulatory commitments.	115176	2019	POINT (-80.0534 26.7153)	2021-05-20T02:33:48.460
2020	54360	Shah Alam City Council		Malaysia	Southeast Asia and Oceania	public	City / Municipality	Baseline scenario (business as usual) target																				671200	2019		2021-05-20T02:33:48.460
2020	36032	Ville de Dakar	Dakar	Senegal	Africa	public	City / Municipality	Baseline scenario (business as usual) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2016	2020	2016	54	2050					9824215		Deadline 2020 - Delivering the 1.5 degree ambition of the Paris Agreement in a resilient, inclusive way	La méthodologie utilisée est celle de l'outil de planification des scénarios - Pathways 1.5 développé par le C40.  Le modèle Pathways est un outil de planification de la réduction desémissions à l’échelle d’une ville et peut aider les villes à identifier le ou les objectifs de réductions des émissions et les stratégies prioritaires et globales d’atténuations. En effet, l'inventaire des GES, avec comme année de référence  2016, a permis d'élaborer le Business as Usual (BAU) jusqu'à l'année cible conformément à l'accord de Paris sur le climat. Aussi, suite aux recommendations du C40, GCOM, JRC et COMSSA deux cibles intermédiaires sont considérées : 2030 et 2040.	Yes - 1.5 °C	Yes	L'Objectif de la Ville est plus ambitieux que celui du pays décliné dans la CDN	1252786	2016	POINT (-17.366 14.7645)	2021-05-20T02:33:48.460
2020	36494	Comune di Padova	Padova	Italy	Europe	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2005	2020	2094868	52	2030	1005536.64					78	Global Covenant of Mayors for Climate & Energy		Do not know	Do not know	Within the Covenant of Mayors initiative, the signatories must reduce at least of 40% their CO2 city-wide emissions towards 2030, compared to a baseline emission inventory. The Municipality of Padova, in 2017, almost reached this minimum target (37.5%). The Municipality is willing to halve the emissions by 2030, in order to reach a carbon neutrality in 2050. This ambitious goal will be attained with a multy-sectoral action plan.	210440	2017	POINT (11.8768 45.4064)	2021-05-20T02:33:48.460
2020	16581	City of Seattle	Seattle	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2008	2011	3708000	100	2050	0					6	Global Covenant of Mayors for Climate & Energy		Yes - 2 °C	No		704352	2016	POINT (-122.332 47.6062)	2021-05-20T02:33:48.460
2020	35903	Le Grand Casablanca	Casablanca	Morocco	Africa	public	Metropolitan area	Fixed level target	Energy																			3360000	2014	POINT (-7.56806 33.5206)	2021-05-20T02:33:48.460
2020	36152	Tallinn City Council	Tallinn	Estonia	Europe	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2007	2011	428545	20	2021	342836					18	Global Covenant of Mayors for Climate & Energy		Do not know	Yes		445024	2020	POINT (24.7536 59.437)	2021-05-20T02:33:48.460
2020	54274	Rotorua Lakes Council	Rotorua	New Zealand	Southeast Asia and Oceania	public	Other, please specify: District	No target																				71877	2018		2021-05-20T02:33:48.460
2020	54113	City of Flagstaff	Flagstaff	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2016	2018	826270.21	15	2025	702329.6785					0			Yes - 2 °C	No		75038	2019	POINT (-111.631 35.1992)	2021-05-20T02:33:48.460
2020	73713	San Miguel		Argentina	Latin America	public	City / Municipality	No target																				287360	2018		2021-05-20T02:33:48.460
2020	54298	Dalian Municipal People's Government	Dalian	China	East Asia	public																								POINT (121.567 38.9389)	2021-05-20T02:33:48.460
2020	60073	Wolverhampton City Council	Wolverhampton	United Kingdom of Great Britain and Northern Ireland	Europe	public	Local government area within a greater city / metropolitan area	Fixed level target	All emissions sources included in city inventory		Same – covers entire city and nothing else		2020			2041	0	293557				0	Declaring Climate Emergency; Individual City Commitment		Yes - 1.5 °C	Yes, but it exceeds its scale or requirement		265809	2020		2021-05-20T02:33:48.460
2020	60295	Prefeitura de Jaguariúna		Brazil	Latin America	public																									2021-05-20T02:33:48.460
2020	50540	City of Albuquerque		United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2008	2018		26	2025							Deadline 2020 - Delivering the 1.5 degree ambition of the Paris Agreement in a resilient, inclusive way; Declaring Climate Emergency; LEED for Cities; Mayors National Climate Action Agenda		Yes - 1.5 °C	Yes		560513	2019		2021-05-20T02:33:48.460
2020	63762	Metropolitan Washington Council of Governments (COG)		United States of America	North America	public	Metropolitan area	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2005	2008	71781012	10	2012	64602910.8					100	Global Covenant of Mayors for Climate & Energy			No		5570234	2018		2021-05-20T02:33:48.460
2020	13506	Nottingham City Council	Nottingham	United Kingdom of Great Britain and Northern Ireland	Europe	public	City / Municipality	Fixed level target	Other, please specify: Scope 1 and 2 CO2 emissions from BEIS local authority inventory	The target covers direct (Scope 1) and indirect (Scope 2) energy related to CO2 emissions. It does not cover Scope 3 or imported emissions. This is for several reasons, including: ability to monitor and measure effectively; alignment with the local carbon budget model embedded; and ability to influence and shape sources of emissions directly.	Same – covers entire city and nothing else		2020			2028	385000	346000				0	Global Covenant of Mayors for Climate & Energy		Yes - 1.5 °C	No	Setting a 2028 target not only prioritises that Nottingham stays well below its carbon budget to pursue a 1.5C limit to warming but it also sets the standard for other cities as they consider their own pledges, making Nottingham a leading city in climate action. The 2028 carbon neutral target is defined by the point at which only 5% of Nottingham's carbon budget (7.7MtCO2) is left. Depending on the trajectory taken, this will affect the level of emissions emitted in our target year 2028, and the remaining level of residual emissions to offset at that point. Under an annual reduction of 22.3% per year (2020 to 2028) remaining emissions under this pathway would be 385,000tCO2 cumulatively through to 2100, which is 5% of the carbon budget of 7.7 million tonnes. For the most part, reducing the principal sources of CO2 would significantly lower CO2e, and our Carbon Neutral Action Plan aims to reduce all greenhouse gases and scopes where possible. Progress is reported as 0% as emissions data as this target has only been introduced this year. CO2 emissions data also has a 2 year lag, and as such, 2018 emissions are the most recent known.	332900	2019		2021-05-20T02:33:48.460
2020	50361	Ayuntamiento de Hermosillo	Hermosillo	Mexico	Latin America	public	Metropolitan area	Baseline scenario (business as usual) target	All emissions sources included in city inventory	No sources differ.	Same – covers entire city and nothing else	2015	2018	7700073	19	2050					13748689	0.6		The Mitigation Roadmap has been defined with the relevant stakeholders in Hermosillo, through collaborative workshops with each sector.The starting point for the definition of the Mitigation Roadmap includes the GHG Emissions Inventory and the qualitative-exhaustive diagnosis of urban planning, to ensure the alignment of the Mitigation Roadmap with the strategies. The revised planning documents include:- Hermosillo's Municipal Development Plan 2016-2018.- Hermosillo's 2015 Municipal Climate Action Plan.- Hermosillo's City prosperity index by UN-HABITAT and SEDATU.The mitigation roadmap was established from three references:- New actions during the diagnosis.- The revision of municipal plans and projects.- The actions proposed directly by the city's stakeholders.The prioritization was carried out through a semiquantitative multicriteria analysis, considering specifically for each action, the following four criteria:- Mitigation potential.- Viability.- Added environmental benefits.- Added social benefits.	Yes - 2 °C	Yes	The policy aims to improve the capacity for adaptation, strengthen resilience and reduce the vulnerability to climate change in the city by aligning with the efforts of the Nationally Determined Contribution (CDN). That is, at the local level and from its area of influence, this is a strategy to contribute to the fulfilment of Mexico's commitments with its CDN. For example, the regeneration of green areas is of special importance for Hermosillo; the Municipal Action Plan, Hermosillo at a Human Scale (BID-NADBANK, 2018), remarks regarding the ratio of green areas and public spaces, that the city has 20 hectares per 100,000 inhabitants. Currently, there is an increase in the deficit of green areas and public spaces; it is expected that qualified green areas grow to a lesser extent than the population by the year 2050. Therefore, in a Business as Usual scenario: The index of green areas per inhabitant decreases from 2.14 m2 / hab. in 2015 to 1.58 m2 / hab. in 2050.	913318	2020	POINT (-110.961 29.0892)	2021-05-20T02:33:48.460
2020	54311	Thane Municipal Corporation		India	South and West Asia	public																									2021-05-20T02:33:48.460
2020	36004	City of Abidjan	Abidjan	Côte d'Ivoire	Africa	public	Special city	Fixed level target																				5052000	2016	POINT (-4.0083 5.36)	2021-05-20T02:33:48.460
2020	36036	City of Ibadan	Ibadan	Nigeria	Africa	public	City / Municipality	Base year emissions (absolute) target	Waste		Larger – covers the whole city and adjoining areas												Declaring Climate Emergency; ICLEI’s Green Climate Cities Program; UN-Habitat Guiding Principles for City Climate Action Planning		Yes - 1.5 °C	Yes		6591589	2020	POINT (3.94704 7.37753)	2021-05-20T02:33:48.460
2020	73724	Arteaga		Argentina	Latin America	public	City / Municipality	Baseline scenario (business as usual) target	Other, please specify: Transporte, Energía y Desechos	Se toman a consideración las fuentes de emisión clasificadas en el inventario como básicas (siguiendo el estándar GPC).El nivel BASIC (básico) cubre las fuentes de emisión que se producen en casi todas las ciudades (energía estacionaria, transporte dentro de los límites y desechos generados en la ciudad), donde las metodologías y datos de cálculo están fácilmente disponibles. Se corresponde a un marco de reporte inducido por la ciudad. En detalle, las emisiones cubiertas son: - Energía Estacionaria, alcances 1 y 2 - Transporte, alcance 1 (se utiliza el método de venta de combustible) y 2- Residuos, alcance 1 y 3Se decidió no incorporar las emisiones de agricultura y ganadería y las emisiones de alcance 3 de energía estacionaria (incluidas en el inventario) ya que sobre estas, los gobiernos locales no tienen capacidad de realizar acciones concretas para mitigarlas. Se incluyeron sólo aquellas que pueden ser gestionados más fácilmente a escala local.	Same – covers entire city and nothing else	2018	2020	14702.26	18	2030					22009.59		Global Covenant of Mayors for Climate & Energy	El aumento porcentual relativo de emisiones de Argentina a nivel nacional proyectado para el período 2018 - 2030 es del 45,65%. Este aumento será considerado para la preparación del escenario BAU de Arteaga donde se proyectarán las emisiones alcanzadas por el nivel BÁSICO. Éste nivel abarca los sectores en los cuales los gobiernos locales poseen mayor capacidad de realizar acciones concretas, y que pueden ser gestionados más fácilmente que los incluidos en el nivel BÁSICO+.Para correlacionar el escenario Business as Usual nacional con el de Arteaga se realizó un ajuste considerando las tasas de aumento poblacional. El factor de ajuste es equivalente a la relación entre la variación poblacional en el período 2018-2030 a nivel nacional y local. Factor de ajuste =(variación población 2018 − 2030 Arteaga)/(variación población 2018 − 2030 Argentina)El INDEC estima que durante este tiempo la población argentina aumentará un 11,04% y un 12,02% en el municipio. Por lo tanto el factor de ajuste resulta de 1,03. Así, el aumento de emisiones proyectado para Caseros será del 49,70%.Aumento de emisiones en Arteaga 2018 − 2030 (%) = 45,65% ∗ 1,089= 49,70%Tomando de base el inventario BÁSICO de Arteaga del 2018, las emisiones proyectadas bajo el escenario tendencial al 2030 serán de 22.009,59 tCO2e.Emisiones Arteaga al 2030 (tCO2e) = 14.702,24 tCO2e ∗ 1,089 = 22.009,59 tCO2eTomando como referencia la meta de reducción de emisiones presentada por el país y acorde a lo establecido en el Pacto de Alcaldes por el Clima y la Energía, la Comuna de Arteaga se compromete a reducir sus emisiones de gases de efecto en al menos un 18%respecto al escenario BAU al 2030, considerando las fuentes de emisión del alcance BÁSICO. De esta forma, en 2030, Arteaga no emitirá más de 18.047,86 tCO2e.	Do not know	No	Se espera que la reducción de emisiones propuesta por Arteaga y las medidas que se desarrollen para su concreción, se sumen a los esfuerzos nacionales.	3359	2018		2021-05-20T02:33:48.460
2020	848122	Alajuela		Costa Rica	Latin America	public	City / Municipality	No target																				297879	2016		2021-05-20T02:33:48.460
2020	845134	Prefeitura de São Bento do Una		Brazil	Latin America	public	City / Municipality	No target																				58000	2020		2021-05-20T02:33:48.460
2020	58489	Hoeje-Taastrup Kommune	Hoeje-Taastrup	Denmark	Europe	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory	Sources of the target are the same as the inventory.	Same – covers entire city and nothing else	2012	2015	307342	95	2050	15367.1					24	Deadline 2020 - Delivering the 1.5 degree ambition of the Paris Agreement in a resilient, inclusive way; Global Covenant of Mayors for Climate & Energy; Klimakommune (Climate Municipality)		Do not know	Yes, but it exceeds its scale or requirement	Long-term objectives, until 2050. That Høje-Taastrup Municipality achieves the governmental objective of a fossil free electricity, heat and transport sector. That CO2 emission is reduces by about 95%.	50686	2019	POINT (12.2898 55.6563)	2021-05-20T02:33:48.460
2020	59653	City of Manhattan Beach, CA	Manhattan Beach	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2005	2016	341262	15	2020	290072.7					100			Do not know	Yes	The U.S. withdrew from the Paris Agreement , however the original goal of the U.S. was to reduce emissions between 26-28% by 2025 with 2005 as the base year. Manhattan Beach's target is on par with the country's NDC. Manhattan Beach has already met and exceeded our target emissions reduction of 15% by 2020, in 2016. With the city joining the Clean Power Alliance (CCA) and committing to renewable energy, as well as energy efficiency projects being implemented , Manhattan Beach is on track to meet and exceed the original U.S. target.	35532	2018	POINT (-118.405 33.8889)	2021-05-20T02:33:48.460
2020	31117	City of Toronto	Toronto	Canada	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	1990	2019	27051617	100	2050	0					59.65	Global Covenant of Mayors for Climate & Energy		Yes - 2 °C	Yes, but it exceeds its scale or requirement	TransformTO is Toronto’s climate action strategy to reduce local greenhouse gas emissions, increase climate resilience, improve our health, grow our economy, and improve social equity. In October 2019, Toronto City Council declared a climate emergency, deepening the City's commitment to addressing climate change. As part of the climate emergency declaration, Toronto's long-term greenhouse gas (GHG) reduction target was revised. The City's new targets (based on 1990 levels) are: 30 per cent by 2020 65 per cent by 2030 Net zero by 2050, or soonerAchieving these targets will require transformational changes in how we live, work, build and commute, and everyone will have a role in transforming Toronto into a low-carbon city.For more information on TranformTO please see link attached:https://www.toronto.ca/services-payments/water-environment/environmentally-friendly-city-initiatives/transformto/TransformTO supports Council's Strategic Action Plan. See:  https://www.toronto.ca/wp-content/uploads/2018/01/960a-strategicplan-AODA.pdfFor more details on how we are addressing these goals please see the climate emergency declaration in the link below:http://app.toronto.ca/tmmis/viewAgendaItemHistory.doitem=2019.MM10.3Please see link below for the TransformTO report:http://app.toronto.ca/tmmis/viewAgendaItemHistory.doitem=2017.PE19.4	2919971	2018	POINT (-79.3832 43.6532)	2021-05-20T02:33:48.460
2020	46470	Ayuntamiento de Vitoria-Gasteiz	Vitoria-Gasteiz	Spain	Europe	public	City / Municipality	Base year emissions (absolute) target	Other, please specify: Servicios municipales (edificios municipales, alumbrado público, transporte público, gestión del agua, de los residuos		Larger – covers the whole city and adjoining areas	2006	2010	49279	56	2020	21682.76					93	Global Covenant of Mayors for Climate & Energy		Do not know	Do not know	Para las emisiones ligadas a los servicios municipales (edificios municipales, alumbrado público, transporte público, gestión del agua, de los residuos, se estableció una meta de reducción del 53,0% en 2020 con respecto a las emisiones en 2006	252574	2019	POINT (-2.67 42.84)	2021-05-20T02:33:48.460
2020	849121	Junín		Argentina	Latin America	public																									2021-05-20T02:33:48.460
2020	58597	Municipalidad de La Unión	La Unión	Costa Rica	Latin America	public	City / Municipality	Base year emissions (absolute) target	Transport		Same – covers entire city and nothing else	2017	2019	83010.31	1.51	2021	81756.854319					0	Global Covenant of Mayors for Climate & Energy; Other, please specify: Plan de Descarbonización de Costa Rica		Yes - 2 °C	Yes	Acondicionar, construir e instalar obras de infraestructura (red de aceras, rutas para ciclistas, “free running”, “parkour”, moviliario urbano, árboles, paradas de autobuses, iluminación, etc.) que promuevan la disminución del uso de vehículos particulares, disminuyendo así las emisiones de gases de efecto invernadero provenientes de la combustión vehicular.Lograr que 765.440 personas se movilicen anualmente en medio de transporte no motorizado (caminando, en bicicleta, patineta, o corriendo)= 765.440 usuarios/año	112508	2020	POINT (-83.9833 9.91667)	2021-05-20T02:33:48.460
2020	35860	City of Dallas	Dallas	United States of America	North America	public	City / Municipality	Fixed level target	All emissions sources included in city inventory	N/A	Same – covers entire city and nothing else		2020			2050	0	1705000				20	Individual City Commitment; Other, please specify: Paris Accords		Yes - 2 °C	No	There is no target set by the U.S. Federal Government or the State of Texas at this time.  This is a target selected by the City of Dallas.	1345047	2018	POINT (-96.8004 32.7801)	2021-05-20T02:33:48.460
2020	50387	Prefeitura de Guarulhos	Guarulhos	Brazil	Latin America	public																								POINT (-46.5338 -23.4542)	2021-05-20T02:33:48.460
2020	845132	Prefeitura de Goiás (Goiás Velho)		Brazil	Latin America	public	City / Municipality	No target																				24727	2010		2021-05-20T02:33:48.460
2020	35872	Municipality of Recife	Recife	Brazil	Latin America	public	City / Municipality	Baseline scenario (business as usual) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2012	2016	3120425	21.18	2037					7416236	75	Global Covenant of Mayors for Climate & Energy	Estamos finalizando o novo cenário de business as usual da cidade com medidas ousadas no que tange a redução das emissões da cidade.	Yes - 2 °C	Do not know		1645727	2019	POINT (-34.8829 -8.05783)	2021-05-20T02:33:48.460
2020	1850	Birmingham City Council	Birmingham	United Kingdom of Great Britain and Northern Ireland	Europe	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	1990	2019	6874000	100	2030	0					38.6	Global Covenant of Mayors for Climate & Energy		Yes - 1.5 °C	Yes	Exceeds UK'S 2050 target.	1141400	2018		2021-05-20T02:33:48.460
2020	834261	Municipality of Irapuato		Mexico	Latin America	public	Special city	No target																				529440	2010		2021-05-20T02:33:48.460
2020	73706	City of Alameda	Alameda	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2005	2008	367294	25	2020	275470.5					14			Yes - 2 °C	Yes	Expected 16 percent reduction by 2020.	75961	2017	POINT (122.163 37.4522)	2021-05-20T02:33:48.460
2020	841964	City of Hallandale Beach, FL	Hallandale Beach	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2016	2019	460733	100	2055	0					0	Global Covenant of Mayors for Climate & Energy; Individual City Commitment		Yes - 1.5 °C	Yes		37113	2010	POINT (-80.1484 25.9812)	2021-05-20T02:33:48.460
2020	60410	Municipalidad de Peñalolén	Peñalolén	Chile	Latin America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2017	2020	222008.13	30	2030	155405.691					5	Global Covenant of Mayors for Climate & Energy; Individual City Commitment		Yes - 1.5 °C	Yes, but it exceeds its scale or requirement	La meta se alinea a los compromisos nacionales (por ejemplo lo establecido a la NDC) y se basa en controlar las emisiones locales en base a los sumideros de carbonos, ERNC, eficiencia energética, cambio de comportamientos y hábitos para la reducción o consumo eficiente y normativas asociadas.	241599	2017	POINT (-70.5302 -33.454)	2021-05-20T02:33:48.460
2020	50544	City of Aurora, IL	Aurora	United States of America	North America	public	City / Municipality	Baseline scenario (business as usual) target																				200965	2017	POINT (41.7606 88.3201)	2021-05-20T02:33:48.460
2020	50394	Prefeitura Municipal de João Pessoa	João Pessoa	Brazil	Latin America	public	City / Municipality	No target																				723515	2010	POINT (-34.8639 -7.16882)	2021-05-20T02:33:48.460
2020	35873	Municipality of Medellín	Medellín	Colombia	Latin America	public	City / Municipality	Baseline scenario (business as usual) target	Other, please specify	Las fuentes de emisión contempladas son los sectores de Energía Estacionaria, Transporte y Residuos. Se excluyen IPPU y AFOLU	Same – covers entire city and nothing else			3562796	1						1844487			La metodología utilizada fue bajo la herramienta de proyecciones PATHWAYS que incluye los diferentes sectores del inventario de GEI y que para cada uno de los sectores brinda las diferentes acciones que la ciudad puede emprender para reducir CO2. Es un modelo basado en datos de la ciudad, que incluye información del hoy con los datos de población y PIB actuales y proyectados, define una línea base, metas de reducción de corto, mediano y largo plazo y permite hacer un análisis de las emisiones residuales.	Yes - 2 °C			2533424	2020	POINT (-75.5735 6.22729)	2021-05-20T02:33:48.460
2020	35858	City of Cape Town	Cape Town	South Africa	Africa	public	City / Municipality	Baseline scenario (business as usual) target	Transport	n/a	Same – covers entire city and nothing else	2012	2015	7254734	34	2040					14693670.2	13	Deadline 2020 - Delivering the 1.5 degree ambition of the Paris Agreement in a resilient, inclusive way; Global Covenant of Mayors for Climate & Energy; Individual City Commitment; Mexico City Pact; One Planet City Challenge	The target applied a bottom-up model of energy demand projected forward using growth (of GDP and population) parameters. Using the Long-Range Energy Alternatives Planning (LEAP) simulation tool, it was based on a set of interventions addressing demand for both energy and transport. The targets were established and approved by Council in 2015 under a process called the Cape Town Energy2040 Goal. The City is in the process of updating these mitigation targets to meet the new goal of carbon neutrality by 2050 as per its commitment under C40 Deadline 2020 Programme. As a result of the nature of the Energy2040 targets (being developed as reductions off a BAU trajectory, rather than reductions from the base year), the “percentage of target achieved” figure has been calculated in the following way: [BAU(2018) - Actual emissions(2018)] / [BAU(target yr) - Target emissions (target yr)]. Furthermore, the City's disaggregation and measurement of CO2 targets into sectors does not match this CDP template. The targets were broken down by the contributions of transport efficiency, electricity efficiency, and cleaner electricity supply, to the total reduction off BAU. (The City can be contacted for further elaboration on its targets structure.) As such, the sector-specific targets reported here differ from the officially adopted ones, which were expressed in terms of contribution to reduction from BAU as follows: Electricity efficiency contribution: -3.7% by 2020, -7.7% by 2030, -9.3% by 2040 Transport efficiency contribution: -3.2% by 2020, -7.2% by 2030, -11.2% by 2040 Cleaner electricity supply contribution: -6.2% by 2020, -13.9% by 2030, -15.9% by 2040 The City recognises that the BAU projected under Energy2040 would not have captured the full extent of recent reductions in energy consumption as a result of slow economic growth and increased tariffs. The observed reductions from BAU may therefore overstate the direct impact of climate actions. The new targets under the C40 Deadline 2020 Program have been provisionally developed but need to wait for the City’s new Climate Change Strategy to be approved by Council before they can be publically tabled. The CC Strategy is set to serve at Council by November 2020 and the targets therefore be ready to report in the next CDP reporting cycle. Unlike the Energy2040 targets, the updated targets also apply to the waste sector.	No	Yes, and it exceeds its scale or requirement	This target was established under the Energy2040 Goal process, and so was based on ambitious targets but preceded the Paris Agreement and South Africa's NDC. It exceeds the ambition of the NDC, but what is more important is that it is now being aligned with the global pathway set out in the Paris Agreement, under the C40 Deadline 2020 commitment.The target covers energy only (including aviation and marine)	4400240	2018	POINT (18.4239 -33.9253)	2021-05-20T02:33:48.460
2020	60633	La mairie de Bujumbura	Bujumbura	Burundi	Africa	public	City / Municipality	No target																				1155678	2020	POINT (29.3599 -3.36137)	2021-05-20T02:33:48.460
